id_parlamentar,casa,id_legislatura,data_inicio,data_fim,situacao,cod_causa_fim_exercicio,desc_causa_fim_exercicio
5136,senado,54,2011-02-01,2015-01-31,1º Suplente,NA,NA
5136,senado,55,2015-02-01,2019-01-31,1º Suplente,NA,NA
5108,senado,54,2011-02-01,2015-01-31,1º Suplente,2859,Retorno do titular
5108,senado,55,2015-02-01,2019-01-31,1º Suplente,2859,Retorno do titular
3881,senado,54,2011-02-01,2015-01-31,1º Suplente,2649,Retorno do titular
3881,senado,55,2015-02-01,2019-01-31,1º Suplente,2649,Retorno do titular
5044,senado,54,2011-02-01,2015-01-31,1º Suplente,NA,NA
5044,senado,55,2015-02-01,2019-01-31,1º Suplente,NA,NA
3398,senado,52,2003-02-01,2007-01-31,Titular,1893,Término do mandato
3398,senado,53,2007-02-01,2011-01-31,Titular,1893,Término do mandato
3398,senado,54,2011-02-01,2015-01-31,Titular,2588,Término do mandato
3398,senado,55,2015-02-01,2019-01-31,Titular,2588,Término do mandato
1757,senado,45,1975-03-01,1978-12-05,NA,NA,NA
1757,senado,46,1979-02-01,1983-01-31,NA,NA,NA
1757,senado,54,2011-02-01,2015-01-31,2º Suplente,NA,NA
1757,senado,55,2015-02-01,2019-01-31,2º Suplente,NA,NA
5197,senado,54,2011-02-01,2015-01-31,Titular,2808,Término do mandato
5197,senado,54,2011-02-01,2015-01-31,NA,NA,NA
5197,senado,55,2015-02-01,2019-01-31,Titular,2808,Término do mandato
5197,senado,55,2015-02-01,2019-01-31,NA,NA,NA
5132,senado,54,2011-02-01,2015-01-31,1º Suplente,2762,Término do mandato
5132,senado,55,2015-02-01,2019-01-31,1º Suplente,2762,Término do mandato
5199,senado,54,2011-02-01,2015-01-31,1º Suplente,2797,Retorno do titular
5199,senado,55,2015-02-01,2019-01-31,1º Suplente,2797,Retorno do titular
3360,senado,52,2003-02-01,2007-01-31,Titular,2436,Término do mandato
3360,senado,53,2007-02-01,2011-01-31,Titular,2436,Término do mandato
3360,senado,54,2011-02-01,2015-01-31,Titular,2589,Perda de mandato
3360,senado,55,2015-02-01,2019-01-31,Titular,2589,Perda de mandato
3399,senado,52,2003-02-01,2007-01-31,Titular,1697,Término do mandato
3399,senado,53,2007-02-01,2011-01-31,Titular,1697,Término do mandato
3399,senado,54,2011-02-01,2015-01-31,Titular,2590,Perda de mandato
3399,senado,55,2015-02-01,2019-01-31,Titular,2590,Perda de mandato
5178,senado,54,2011-02-01,2015-01-31,1º Suplente,2723,Retorno do titular
5178,senado,55,2015-02-01,2019-01-31,1º Suplente,2723,Retorno do titular
16,senado,48,1987-02-01,1991-01-31,Titular,NA,NA
16,senado,48,1987-02-01,1991-01-31,NA,NA,NA
16,senado,49,1991-02-01,1995-01-31,Titular,NA,NA
16,senado,50,1995-02-01,1999-01-31,Titular,135,Término do mandato
16,senado,51,1999-02-01,2003-01-31,Titular,135,Término do mandato
16,senado,52,2003-02-01,2007-01-31,Titular,2576,Término do mandato
16,senado,53,2007-02-01,2011-01-31,Titular,2576,Término do mandato
16,senado,54,2011-02-01,2015-01-31,Titular,2848,Término do mandato
16,senado,55,2015-02-01,2019-01-31,Titular,2848,Término do mandato
5160,senado,54,2011-02-01,2015-01-31,1º Suplente,NA,NA
5160,senado,55,2015-02-01,2019-01-31,1º Suplente,NA,NA
4721,senado,54,2011-02-01,2015-01-31,Titular,2716,Término do mandato
4721,senado,55,2015-02-01,2019-01-31,Titular,2716,Término do mandato
4767,senado,54,2011-02-01,2015-01-31,1º Suplente,2809,Afastamento do exercício
4767,senado,55,2015-02-01,2019-01-31,1º Suplente,2809,Afastamento do exercício
5146,senado,54,2011-02-01,2015-01-31,2º Suplente,NA,NA
5146,senado,55,2015-02-01,2019-01-31,2º Suplente,NA,NA
4969,senado,54,2011-02-01,2015-01-31,2º Suplente,2843,Retorno do titular
4969,senado,55,2015-02-01,2019-01-31,2º Suplente,2843,Retorno do titular
5148,senado,54,2011-02-01,2015-01-31,1º Suplente,NA,NA
5148,senado,55,2015-02-01,2019-01-31,1º Suplente,NA,NA
5064,senado,54,2011-02-01,2015-01-31,2º Suplente,NA,NA
5064,senado,55,2015-02-01,2019-01-31,2º Suplente,NA,NA
5126,senado,54,2011-02-01,2015-01-31,2º Suplente,NA,NA
5126,senado,55,2015-02-01,2019-01-31,2º Suplente,NA,NA
612,senado,54,2011-02-01,2015-01-31,Titular,2594,Término do mandato
612,senado,55,2015-02-01,2019-01-31,Titular,2594,Término do mandato
5026,senado,54,2011-02-01,2015-01-31,1º Suplente,NA,NA
5026,senado,55,2015-02-01,2019-01-31,1º Suplente,NA,NA
2632,senado,50,1995-02-01,1999-01-31,2º Suplente,1233,Término do mandato
2632,senado,51,1999-02-01,2003-01-31,2º Suplente,1233,Término do mandato
2632,senado,54,2011-02-01,2015-01-31,1º Suplente,2730,Licença Particular
2632,senado,55,2015-02-01,2019-01-31,1º Suplente,2730,Licença Particular
4873,senado,54,2011-02-01,2015-01-31,2º Suplente,2708,Retorno do titular
4873,senado,55,2015-02-01,2019-01-31,2º Suplente,2708,Retorno do titular
3634,senado,52,2003-02-01,2007-01-31,1º Suplente,2137,Término do mandato
3634,senado,53,2007-02-01,2011-01-31,1º Suplente,2137,Término do mandato
3634,senado,54,2011-02-01,2015-01-31,Titular,2595,Término do mandato
3634,senado,55,2015-02-01,2019-01-31,Titular,2595,Término do mandato
553,senado,54,2011-02-01,2015-01-31,1º Suplente,NA,NA
553,senado,55,2015-02-01,2019-01-31,1º Suplente,NA,NA
5054,senado,54,2011-02-01,2015-01-31,1º Suplente,NA,NA
5054,senado,55,2015-02-01,2019-01-31,1º Suplente,NA,NA
5416,senado,54,2011-02-01,2015-01-31,2º Suplente,NA,NA
5416,senado,55,2015-02-01,2019-01-31,2º Suplente,NA,NA
5034,senado,54,2011-02-01,2015-01-31,1º Suplente,NA,NA
5034,senado,55,2015-02-01,2019-01-31,1º Suplente,NA,NA
5162,senado,54,2011-02-01,2015-01-31,2º Suplente,NA,NA
5162,senado,55,2015-02-01,2019-01-31,2º Suplente,NA,NA
5024,senado,54,2011-02-01,2015-01-31,2º Suplente,NA,NA
5024,senado,55,2015-02-01,2019-01-31,2º Suplente,NA,NA
87,senado,49,1991-02-01,1995-01-31,Titular,121,Renúncia
87,senado,50,1995-02-01,1999-01-31,Titular,121,Renúncia
87,senado,52,2003-02-01,2007-01-31,Titular,2577,Término do mandato
87,senado,53,2007-02-01,2011-01-31,Titular,2577,Término do mandato
87,senado,54,2011-02-01,2015-01-31,Titular,2725,Término do mandato
87,senado,55,2015-02-01,2019-01-31,Titular,2725,Término do mandato
4522,senado,50,1995-02-01,1999-01-31,2º Suplente,NA,NA
4522,senado,51,1999-02-01,2003-01-31,2º Suplente,NA,NA
4522,senado,52,2003-02-01,2007-01-31,1º Suplente,2520,Retorno do titular
4522,senado,53,2007-02-01,2011-01-31,1º Suplente,2520,Retorno do titular
4522,senado,54,2011-02-01,2015-01-31,1º Suplente,2636,Retorno do titular
4522,senado,55,2015-02-01,2019-01-31,1º Suplente,2636,Retorno do titular
5088,senado,54,2011-02-01,2015-01-31,2º Suplente,NA,NA
5088,senado,55,2015-02-01,2019-01-31,2º Suplente,NA,NA
30,senado,50,1995-02-01,1999-01-31,Titular,104,Término do mandato
30,senado,51,1999-02-01,2003-01-31,Titular,104,Término do mandato
30,senado,52,2003-02-01,2007-01-31,Titular,2544,Término do mandato
30,senado,52,2003-02-01,2007-01-31,NA,NA,NA
30,senado,53,2007-02-01,2011-01-31,Titular,2544,Término do mandato
30,senado,53,2007-02-01,2011-01-31,NA,NA,NA
30,senado,54,2011-02-01,2015-01-31,Titular,2655,Término do mandato
30,senado,55,2015-02-01,2019-01-31,Titular,2655,Término do mandato
5128,senado,54,2011-02-01,2015-01-31,2º Suplente,NA,NA
5128,senado,55,2015-02-01,2019-01-31,2º Suplente,NA,NA
5030,senado,54,2011-02-01,2015-01-31,1º Suplente,2858,Retorno do titular
5030,senado,55,2015-02-01,2019-01-31,1º Suplente,2858,Retorno do titular
5006,senado,54,2011-02-01,2015-01-31,Titular,2693,Término do mandato
5006,senado,55,2015-02-01,2019-01-31,Titular,2693,Término do mandato
5100,senado,54,2011-02-01,2015-01-31,1º Suplente,2726,Término do mandato
5100,senado,55,2015-02-01,2019-01-31,1º Suplente,2726,Término do mandato
5076,senado,54,2011-02-01,2015-01-31,1º Suplente,2860,Renúncia
5076,senado,55,2015-02-01,2019-01-31,1º Suplente,2860,Renúncia
1754,senado,45,1975-03-01,1978-12-05,NA,NA,NA
1754,senado,46,1979-02-01,1983-01-31,NA,NA,NA
1754,senado,47,1983-02-01,1987-01-31,NA,NA,NA
1754,senado,48,1987-02-01,1991-01-31,NA,NA,NA
1754,senado,54,2011-02-01,2015-01-31,Titular,2600,Falecimento
1754,senado,55,2015-02-01,2019-01-31,Titular,2600,Falecimento
5418,senado,54,2011-02-01,2015-01-31,1º Suplente,NA,NA
5418,senado,55,2015-02-01,2019-01-31,1º Suplente,NA,NA
5004,senado,54,2011-02-01,2015-01-31,Titular,2862,Término do mandato
5004,senado,55,2015-02-01,2019-01-31,Titular,2862,Término do mandato
5022,senado,54,2011-02-01,2015-01-31,2º Suplente,NA,NA
5022,senado,55,2015-02-01,2019-01-31,2º Suplente,NA,NA
724,senado,54,2011-02-01,2015-01-31,1º Suplente,NA,NA
724,senado,55,2015-02-01,2019-01-31,1º Suplente,NA,NA
4990,senado,54,2011-02-01,2015-01-31,Titular,2604,Término do mandato
4990,senado,55,2015-02-01,2019-01-31,Titular,2604,Término do mandato
5078,senado,54,2011-02-01,2015-01-31,1º Suplente,NA,NA
5078,senado,55,2015-02-01,2019-01-31,1º Suplente,NA,NA
40,senado,48,1987-02-01,1991-01-31,Titular,NA,NA
40,senado,48,1987-02-01,1991-01-31,NA,NA,NA
40,senado,49,1991-02-01,1995-01-31,Titular,NA,NA
40,senado,49,1991-02-01,1995-01-31,NA,NA,NA
40,senado,50,1995-02-01,1999-01-31,Titular,156,Término do mandato
40,senado,51,1999-02-01,2003-01-31,Titular,156,Término do mandato
40,senado,52,2003-02-01,2007-01-31,Titular,2563,Término do mandato
40,senado,53,2007-02-01,2011-01-31,Titular,2563,Término do mandato
40,senado,54,2011-02-01,2015-01-31,Titular,2605,Término do mandato
40,senado,55,2015-02-01,2019-01-31,Titular,2605,Término do mandato
5090,senado,54,2011-02-01,2015-01-31,1º Suplente,NA,NA
5090,senado,55,2015-02-01,2019-01-31,1º Suplente,NA,NA
5120,senado,54,2011-02-01,2015-01-31,2º Suplente,NA,NA
5120,senado,55,2015-02-01,2019-01-31,2º Suplente,NA,NA
43,senado,50,1995-02-01,1999-01-31,Titular,167,Renúncia
43,senado,51,1999-02-01,2003-01-31,Titular,167,Renúncia
43,senado,54,2011-02-01,2015-01-31,1º Suplente,NA,NA
43,senado,55,2015-02-01,2019-01-31,1º Suplente,NA,NA
5112,senado,54,2011-02-01,2015-01-31,1º Suplente,2720,Término do mandato
5112,senado,55,2015-02-01,2019-01-31,1º Suplente,2720,Término do mandato
615,senado,54,2011-02-01,2015-01-31,Titular,2606,Término do mandato
615,senado,55,2015-02-01,2019-01-31,Titular,2606,Término do mandato
5180,senado,54,2011-02-01,2015-01-31,2º Suplente,NA,NA
5180,senado,55,2015-02-01,2019-01-31,2º Suplente,NA,NA
5036,senado,54,2011-02-01,2015-01-31,2º Suplente,NA,NA
5036,senado,55,2015-02-01,2019-01-31,2º Suplente,NA,NA
950,senado,51,1999-02-01,2003-01-31,Titular,2421,Término do mandato
950,senado,52,2003-02-01,2007-01-31,Titular,2421,Término do mandato
950,senado,54,2011-02-01,2015-01-31,Titular,2676,Término do mandato
950,senado,55,2015-02-01,2019-01-31,Titular,2676,Término do mandato
3394,senado,52,2003-02-01,2007-01-31,Titular,1725,Cassação de registro/diploma pela Justiça Eleitora
3394,senado,53,2007-02-01,2011-01-31,Titular,1725,Cassação de registro/diploma pela Justiça Eleitora
3394,senado,54,2011-02-01,2015-01-31,Titular,2656,Término do mandato
3394,senado,55,2015-02-01,2019-01-31,Titular,2656,Término do mandato
5186,senado,54,2011-02-01,2015-01-31,1º Suplente,NA,NA
5186,senado,55,2015-02-01,2019-01-31,1º Suplente,NA,NA
5166,senado,54,2011-02-01,2015-01-31,1º Suplente,2684,Retorno do titular
5166,senado,55,2015-02-01,2019-01-31,1º Suplente,2684,Retorno do titular
3593,senado,52,2003-02-01,2007-01-31,1º Suplente,2571,Retorno do titular
3593,senado,53,2007-02-01,2011-01-31,1º Suplente,2571,Retorno do titular
3593,senado,54,2011-02-01,2015-01-31,1º Suplente,NA,NA
3593,senado,55,2015-02-01,2019-01-31,1º Suplente,NA,NA
916,senado,52,2003-02-01,2007-01-31,Titular,2419,Término do mandato
916,senado,53,2007-02-01,2011-01-31,Titular,2419,Término do mandato
916,senado,54,2011-02-01,2015-01-31,Titular,2689,Falecimento
916,senado,55,2015-02-01,2019-01-31,Titular,2689,Falecimento
5066,senado,54,2011-02-01,2015-01-31,2º Suplente,NA,NA
5066,senado,55,2015-02-01,2019-01-31,2º Suplente,NA,NA
5158,senado,54,2011-02-01,2015-01-31,2º Suplente,2707,Retorno do titular
5158,senado,55,2015-02-01,2019-01-31,2º Suplente,2707,Retorno do titular
5156,senado,54,2011-02-01,2015-01-31,1º Suplente,2705,Licença Saúde-Particular
5156,senado,55,2015-02-01,2019-01-31,1º Suplente,2705,Licença Saúde-Particular
3695,senado,54,2011-02-01,2015-01-31,Titular,2608,Término do mandato
3695,senado,55,2015-02-01,2019-01-31,Titular,2608,Término do mandato
5040,senado,54,2011-02-01,2015-01-31,2º Suplente,NA,NA
5040,senado,55,2015-02-01,2019-01-31,2º Suplente,NA,NA
3579,senado,52,2003-02-01,2007-01-31,1º Suplente,2488,Retorno do titular
3579,senado,53,2007-02-01,2011-01-31,1º Suplente,2488,Retorno do titular
3579,senado,54,2011-02-01,2015-01-31,1º Suplente,2634,Retorno do titular
3579,senado,55,2015-02-01,2019-01-31,1º Suplente,2634,Retorno do titular
5092,senado,54,2011-02-01,2015-01-31,2º Suplente,NA,NA
5092,senado,55,2015-02-01,2019-01-31,2º Suplente,NA,NA
5104,senado,54,2011-02-01,2015-01-31,2º Suplente,NA,NA
5104,senado,55,2015-02-01,2019-01-31,2º Suplente,NA,NA
5002,senado,54,2011-02-01,2015-01-31,Titular,2610,Falecimento
5002,senado,55,2015-02-01,2019-01-31,Titular,2610,Falecimento
5058,senado,54,2011-02-01,2015-01-31,2º Suplente,NA,NA
5058,senado,55,2015-02-01,2019-01-31,2º Suplente,NA,NA
4575,senado,54,2011-02-01,2015-01-31,Titular,2607,Término do mandato
4575,senado,55,2015-02-01,2019-01-31,Titular,2607,Término do mandato
643,senado,52,2003-02-01,2007-01-31,Titular,1698,Término do mandato
643,senado,53,2007-02-01,2011-01-31,Titular,1698,Término do mandato
643,senado,54,2011-02-01,2015-01-31,Titular,2872,Término do mandato
643,senado,55,2015-02-01,2019-01-31,Titular,2872,Término do mandato
631,senado,52,2003-02-01,2007-01-31,Titular,2255,Término do mandato
631,senado,53,2007-02-01,2011-01-31,Titular,2255,Término do mandato
631,senado,54,2011-02-01,2015-01-31,Titular,2611,Término do mandato
631,senado,55,2015-02-01,2019-01-31,Titular,2611,Término do mandato
4951,senado,52,2003-02-01,2007-01-31,2º Suplente,NA,NA
4951,senado,53,2007-02-01,2011-01-31,2º Suplente,NA,NA
4951,senado,54,2011-02-01,2015-01-31,2º Suplente,NA,NA
4951,senado,55,2015-02-01,2019-01-31,2º Suplente,NA,NA
3366,senado,52,2003-02-01,2007-01-31,Titular,1739,Término do mandato
3366,senado,53,2007-02-01,2011-01-31,Titular,1739,Término do mandato
3366,senado,54,2011-02-01,2015-01-31,Titular,2801,Renúncia
3366,senado,55,2015-02-01,2019-01-31,Titular,2801,Renúncia
710,senado,47,1983-02-01,1987-01-31,NA,NA,NA
710,senado,48,1987-02-01,1991-01-31,NA,NA,NA
710,senado,54,2011-02-01,2015-01-31,1º Suplente,NA,NA
710,senado,55,2015-02-01,2019-01-31,1º Suplente,NA,NA
5124,senado,54,2011-02-01,2015-01-31,1º Suplente,NA,NA
5124,senado,55,2015-02-01,2019-01-31,1º Suplente,NA,NA
5190,senado,54,2011-02-01,2015-01-31,2º Suplente,NA,NA
5190,senado,55,2015-02-01,2019-01-31,2º Suplente,NA,NA
5174,senado,54,2011-02-01,2015-01-31,2º Suplente,NA,NA
5174,senado,55,2015-02-01,2019-01-31,2º Suplente,NA,NA
4998,senado,54,2011-02-01,2015-01-31,Titular,2613,Término do mandato
4998,senado,55,2015-02-01,2019-01-31,Titular,2613,Término do mandato
5142,senado,54,2011-02-01,2015-01-31,2º Suplente,NA,NA
5142,senado,55,2015-02-01,2019-01-31,2º Suplente,NA,NA
5000,senado,54,2011-02-01,2015-01-31,Titular,2711,Término do mandato
5000,senado,55,2015-02-01,2019-01-31,Titular,2711,Término do mandato
670,senado,52,2003-02-01,2007-01-31,1º Suplente,2512,Término do mandato
670,senado,53,2007-02-01,2011-01-31,1º Suplente,2512,Término do mandato
670,senado,54,2011-02-01,2015-01-31,2º Suplente,NA,NA
670,senado,55,2015-02-01,2019-01-31,2º Suplente,NA,NA
5086,senado,54,2011-02-01,2015-01-31,2º Suplente,NA,NA
5086,senado,55,2015-02-01,2019-01-31,2º Suplente,NA,NA
5094,senado,54,2011-02-01,2015-01-31,2º Suplente,NA,NA
5094,senado,55,2015-02-01,2019-01-31,2º Suplente,NA,NA
5176,senado,54,2011-02-01,2015-01-31,1º Suplente,NA,NA
5176,senado,55,2015-02-01,2019-01-31,1º Suplente,NA,NA
380,senado,54,2011-02-01,2015-01-31,1º Suplente,NA,NA
380,senado,55,2015-02-01,2019-01-31,1º Suplente,NA,NA
288,senado,54,2011-02-01,2015-01-31,1º Suplente,NA,NA
288,senado,55,2015-02-01,2019-01-31,1º Suplente,NA,NA
64,senado,47,1983-02-01,1987-01-31,NA,NA,NA
64,senado,48,1987-02-01,1991-01-31,NA,NA,NA
64,senado,49,1991-02-01,1995-01-31,Titular,171,Término do mandato
64,senado,50,1995-02-01,1999-01-31,Titular,171,Término do mandato
64,senado,54,2011-02-01,2015-01-31,2º Suplente,2701,Retorno do titular
64,senado,55,2015-02-01,2019-01-31,2º Suplente,2701,Retorno do titular
5060,senado,54,2011-02-01,2015-01-31,1º Suplente,NA,NA
5060,senado,55,2015-02-01,2019-01-31,1º Suplente,NA,NA
5080,senado,54,2011-02-01,2015-01-31,2º Suplente,NA,NA
5080,senado,55,2015-02-01,2019-01-31,2º Suplente,NA,NA
918,senado,54,2011-02-01,2015-01-31,2º Suplente,NA,NA
918,senado,55,2015-02-01,2019-01-31,2º Suplente,NA,NA
5018,senado,54,2011-02-01,2015-01-31,2º Suplente,2844,Retorno do titular
5018,senado,55,2015-02-01,2019-01-31,2º Suplente,2844,Retorno do titular
5122,senado,54,2011-02-01,2015-01-31,1º Suplente,NA,NA
5122,senado,55,2015-02-01,2019-01-31,1º Suplente,NA,NA
3741,senado,54,2011-02-01,2015-01-31,Titular,2615,Término do mandato
3741,senado,55,2015-02-01,2019-01-31,Titular,2615,Término do mandato
5020,senado,54,2011-02-01,2015-01-31,1º Suplente,2635,Retorno do titular
5020,senado,55,2015-02-01,2019-01-31,1º Suplente,2635,Retorno do titular
5152,senado,54,2011-02-01,2015-01-31,2º Suplente,NA,NA
5152,senado,55,2015-02-01,2019-01-31,2º Suplente,NA,NA
5114,senado,54,2011-02-01,2015-01-31,2º Suplente,NA,NA
5114,senado,55,2015-02-01,2019-01-31,2º Suplente,NA,NA
5116,senado,54,2011-02-01,2015-01-31,1º Suplente,2790,Término do mandato
5116,senado,55,2015-02-01,2019-01-31,1º Suplente,2790,Término do mandato
5050,senado,54,2011-02-01,2015-01-31,2º Suplente,NA,NA
5050,senado,55,2015-02-01,2019-01-31,2º Suplente,NA,NA
5010,senado,54,2011-02-01,2015-01-31,Titular,2617,Renúncia
5010,senado,55,2015-02-01,2019-01-31,Titular,2617,Renúncia
2207,senado,48,1987-02-01,1991-01-31,Titular,NA,NA
2207,senado,49,1991-02-01,1995-01-31,Titular,NA,NA
2207,senado,54,2011-02-01,2015-01-31,1º Suplente,2719,Término do mandato
2207,senado,55,2015-02-01,2019-01-31,1º Suplente,2719,Término do mandato
5072,senado,54,2011-02-01,2015-01-31,1º Suplente,2856,Retorno do titular
5072,senado,55,2015-02-01,2019-01-31,1º Suplente,2856,Retorno do titular
5182,senado,54,2011-02-01,2015-01-31,1º Suplente,2721,Renúncia
5182,senado,55,2015-02-01,2019-01-31,1º Suplente,2721,Renúncia
635,senado,54,2011-02-01,2015-01-31,Titular,2845,Término do mandato
635,senado,55,2015-02-01,2019-01-31,Titular,2845,Término do mandato
5052,senado,54,2011-02-01,2015-01-31,1º Suplente,2835,Retorno do titular
5052,senado,55,2015-02-01,2019-01-31,1º Suplente,2835,Retorno do titular
72,senado,50,1995-02-01,1999-01-31,Titular,145,Renúncia
72,senado,51,1999-02-01,2003-01-31,Titular,145,Renúncia
72,senado,54,2011-02-01,2015-01-31,Titular,2621,Término do mandato
72,senado,55,2015-02-01,2019-01-31,Titular,2621,Término do mandato
5098,senado,54,2011-02-01,2015-01-31,2º Suplente,NA,NA
5098,senado,55,2015-02-01,2019-01-31,2º Suplente,NA,NA
4593,senado,54,2011-02-01,2015-01-31,Titular,2622,Renúncia
4593,senado,55,2015-02-01,2019-01-31,Titular,2622,Renúncia
5110,senado,54,2011-02-01,2015-01-31,2º Suplente,2849,Retorno do titular
5110,senado,55,2015-02-01,2019-01-31,2º Suplente,2849,Retorno do titular
73,senado,50,1995-02-01,1999-01-31,Titular,161,Término do mandato
73,senado,51,1999-02-01,2003-01-31,Titular,161,Término do mandato
73,senado,52,2003-02-01,2007-01-31,Titular,2375,Término do mandato
73,senado,53,2007-02-01,2011-01-31,Titular,2375,Término do mandato
73,senado,54,2011-02-01,2015-01-31,Titular,2792,Término do mandato
73,senado,55,2015-02-01,2019-01-31,Titular,2792,Término do mandato
4847,senado,52,2003-02-01,2007-01-31,2º Suplente,NA,NA
4847,senado,53,2007-02-01,2011-01-31,2º Suplente,NA,NA
4847,senado,54,2011-02-01,2015-01-31,2º Suplente,NA,NA
4847,senado,55,2015-02-01,2019-01-31,2º Suplente,NA,NA
5074,senado,50,1995-02-01,1999-01-31,2º Suplente,NA,NA
5074,senado,51,1999-02-01,2003-01-31,2º Suplente,NA,NA
5074,senado,54,2011-02-01,2015-01-31,2º Suplente,NA,NA
5074,senado,55,2015-02-01,2019-01-31,2º Suplente,NA,NA
5172,senado,54,2011-02-01,2015-01-31,2º Suplente,NA,NA
5172,senado,55,2015-02-01,2019-01-31,2º Suplente,NA,NA
5048,senado,54,2011-02-01,2015-01-31,1º Suplente,2640,Retorno do titular
5048,senado,55,2015-02-01,2019-01-31,1º Suplente,2640,Retorno do titular
624,senado,54,2011-02-01,2015-01-31,1º Suplente,NA,NA
624,senado,55,2015-02-01,2019-01-31,1º Suplente,NA,NA
5106,senado,54,2011-02-01,2015-01-31,1º Suplente,2841,Retorno do titular
5106,senado,55,2015-02-01,2019-01-31,1º Suplente,2841,Retorno do titular
438,senado,54,2011-02-01,2015-01-31,2º Suplente,NA,NA
438,senado,55,2015-02-01,2019-01-31,2º Suplente,NA,NA
4949,senado,52,2003-02-01,2007-01-31,1º Suplente,NA,NA
4949,senado,53,2007-02-01,2011-01-31,1º Suplente,NA,NA
4949,senado,54,2011-02-01,2015-01-31,1º Suplente,2667,Retorno do titular
4949,senado,55,2015-02-01,2019-01-31,1º Suplente,2667,Retorno do titular
5068,senado,54,2011-02-01,2015-01-31,2º Suplente,NA,NA
5068,senado,55,2015-02-01,2019-01-31,2º Suplente,NA,NA
5420,senado,54,2011-02-01,2015-01-31,2º Suplente,NA,NA
5420,senado,55,2015-02-01,2019-01-31,2º Suplente,NA,NA
3372,senado,52,2003-02-01,2007-01-31,Titular,1743,Término do mandato
3372,senado,53,2007-02-01,2011-01-31,Titular,1743,Término do mandato
3372,senado,54,2011-02-01,2015-01-31,Titular,2678,Término do mandato
3372,senado,55,2015-02-01,2019-01-31,Titular,2678,Término do mandato
5130,senado,54,2011-02-01,2015-01-31,2º Suplente,NA,NA
5130,senado,55,2015-02-01,2019-01-31,2º Suplente,NA,NA
558,senado,54,2011-02-01,2015-01-31,Titular,2626,Término do mandato
558,senado,55,2015-02-01,2019-01-31,Titular,2626,Término do mandato
