grupo_atividade_economica,id_parlamentar,nome_eleitoral,sg_partido,uf,cnpj,razao_social,data_entrada_sociedade
"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",74478,LUCIANO BIVAR,PSL,PE,00298270001879,BRASIFACTOR FOMENTO COMERCIAL LTDA,2016-06-21
"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",74478,LUCIANO BIVAR,PSL,PE,00298270002093,BRASIFACTOR FOMENTO COMERCIAL LTDA,2016-06-21
"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",74478,LUCIANO BIVAR,PSL,PE,00298270002174,BRASIFACTOR FOMENTO COMERCIAL LTDA,2016-06-21
OUTRAS ATIVIDADES DE SERVIÇOS,141391,ARNALDO JARDIM,CIDADANIA,SP,00392640000194,CENTRO DE ESTUDOS POLITICOS E SOCIAIS JOSE E.V.RADUAN,2005-09-12
"ARTES, CULTURA, ESPORTE E RECREAÇÃO",204358,BETO PEREIRA,PSDB,MS,00411565000161,PROMOV EVENTOS E COMERCIO LTDA,1997-03-05
INDÚSTRIA TÊXTIL E DE VESTUÁRIO,178993,CARLOS HENRIQUE GAGUIM,DEM,TO,00428502000118,PXANT'S INDUSTRIA E COM DE CONFECCOES LTDA,1997-10-17
"ATIVIDADES JURÍDICAS, DE CONTABILIDADE E DE AUDITORIA",4770,Izalci Lucas,PSDB,DF,00544478000182,CONSULTHABIL CONTADORES S/S,1979-10-26
SAÚDE HUMANA E SERVIÇOS SOCIAIS,166402,MAGDA MOFATTO,PL,GO,00544991000173,CLUBE DE ROMA GOIANIA,2005-09-12
"COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS",160666,FÉLIX MENDONÇA JÚNIOR,PDT,BA,00623572000127,CIMENTO IRAMAIA LTDA,1995-05-25
INDÚSTRIA METALÚRGICA,166402,MAGDA MOFATTO,PL,GO,00707400000131,THERMAS DE GOIAS MINERADORA LTDA,1995-06-13
SAÚDE HUMANA E SERVIÇOS SOCIAIS,160598,FLÁVIA MORAIS,PDT,GO,00726447000142,CAIXA ESCOLAR CORACAO DE MAE,2005-09-12
SAÚDE HUMANA E SERVIÇOS SOCIAIS,204406,PEDRO WESTPHALEN,PP,RS,00768072000183,POLICLINICA SANTA LUCIA LTDA,1995-05-08
"ARTES, CULTURA, ESPORTE E RECREAÇÃO",204374,BIA KICIS,PSL,DF,00837433000104,ESCOLA BRASILEIRA DE REIKI LTDA,1998-03-19
AGÊNCIAS DE VIAGEM E TURISMO,74478,LUCIANO BIVAR,PSL,PE,00856899000149,BRASITUR VIAGENS E TURISMO LTDA,2000-07-07
AGÊNCIAS DE VIAGEM E TURISMO,74478,LUCIANO BIVAR,PSL,PE,00856899000220,BRASITUR VIAGENS E TURISMO LTDA,2000-07-07
COMÉRCIO VAREJISTA,204389,ELIAS VAZ,PSB,GO,00864206000160,CERVEJARIA KORRAN LTDA,1995-10-17
"TRANSPORTE, ARMAZENAGEM E CORREIO",204415,NEREU CRISPIM,PSL,RS,00936544000160,PJ COMERCIO E TRANSPORTES DE AREIA E BRITA LTDA,1998-01-16
"COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS",204415,NEREU CRISPIM,PSL,RS,00936544000240,PJ COMERCIO E TRANSPORTES DE AREIA E BRITA LTDA,1998-01-16
"COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS",204415,NEREU CRISPIM,PSL,RS,00936544000321,PJ COMERCIO E TRANSPORTES DE AREIA E BRITA LTDA,1998-01-16
ALOJAMENTO E ALIMENTAÇÃO,74478,LUCIANO BIVAR,PSL,PE,00955976000118,BOLICHE RECIFE LTDA,1996-12-13
SAÚDE HUMANA E SERVIÇOS SOCIAIS,204447,FLORDELIS,PSD,RJ,00988631000160,ASSOCIACAO LAR FAMILIA FLORDELIS,2005-09-12
"TRANSPORTE, ARMAZENAGEM E CORREIO",74478,LUCIANO BIVAR,PSL,PE,01036529000128,VIABRASIL TRANSPORTES AEREOS LTDA,2000-03-17
"TRANSPORTE, ARMAZENAGEM E CORREIO",74478,LUCIANO BIVAR,PSL,PE,01036529000209,VIABRASIL TRANSPORTES AEREOS LTDA,2000-03-17
"TRANSPORTE, ARMAZENAGEM E CORREIO",74478,LUCIANO BIVAR,PSL,PE,01036529000390,VIABRASIL TRANSPORTES AEREOS LTDA,2000-03-17
"TRANSPORTE, ARMAZENAGEM E CORREIO",74478,LUCIANO BIVAR,PSL,PE,01036529000470,VIABRASIL TRANSPORTES AEREOS LTDA,2000-03-17
"TRANSPORTE, ARMAZENAGEM E CORREIO",74478,LUCIANO BIVAR,PSL,PE,01036529000551,VIABRASIL TRANSPORTES AEREOS LTDA,2000-03-17
"TRANSPORTE, ARMAZENAGEM E CORREIO",74478,LUCIANO BIVAR,PSL,PE,01036529000632,VIABRASIL TRANSPORTES AEREOS LTDA,2000-03-17
OUTRAS ATIVIDADES DE SERVIÇOS,73441,CELSO RUSSOMANNO,REPUBLICANOS,SP,01040305000190,INSTITUTO NACIONAL DE DEFESA DO CONSUMIDOR,2005-09-12
OUTRAS ATIVIDADES DE SERVIÇOS,166402,MAGDA MOFATTO,PL,GO,01084687000153,CLUBE DE VIAGENS DI ROMA,2005-09-12
OUTRAS ATIVIDADES DE SERVIÇOS,178956,MARIANA CARVALHO,PSDB,RO,01131627000144,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA - RONDONIA - RO - ESTADUAL,2017-12-18
COMÉRCIO VAREJISTA,204363,OSIRES DAMASO,PSC,TO,01133679000150,DAMASO E RODRIGUES LTDA,1996-04-01
"TRANSPORTE, ARMAZENAGEM E CORREIO",204363,OSIRES DAMASO,PSC,TO,01133679000230,DAMASO E RODRIGUES LTDA,1996-04-01
"COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS",178937,ALTINEU CÔRTES,PL,RJ,01170814000137,NUTRIGOOD DISTRIBUIDORA DE ALIMENTOS LTDA,1996-02-23
COMÉRCIO VAREJISTA,204390,PROFESSOR ALCIDES,PP,GO,01173204000197,BAZAR PROFESSOR ALCIDES LTDA,2002-12-19
CONSTRUÇÃO,166402,MAGDA MOFATTO,PL,GO,01250348000108,OCM CONSTRUTORA LTDA,2000-12-27
INFORMAÇÃO E COMUNICAÇÃO,73788,RICARDO BARROS,PP,PR,01280354000108,FREQUENCIAL EMPREENDIMENTOS DE COMUNICACAO LTDA,1996-07-01
OUTRAS ATIVIDADES DE SERVIÇOS,178912,PEDRO CUNHA LIMA,PSDB,PB,01310463000112,INSTITUTO TEOTONIO VILELA,2019-06-28
OUTRAS ATIVIDADES DE SERVIÇOS,141459,JOÃO MAIA,PL,RN,01318076000122,DIRETORIO REGIONAL DO PARTIDO LIBERAL - RIO GRANDE DO NORTE,2005-09-12
EDUCAÇÃO,204543,LUIZ FLÁVIO GOMES,PSB,SP,01357062000118,INSTITUTO DE PESQUISA E DE CULTURA LUIZ FLAVIO GOMES LTDA.,1998-05-14
COMÉRCIO VAREJISTA,204465,HAROLDO CATHEDRAL,PSD,RR,01361237000160,WH-INFORMATICA E AUTOMACAO LTDA,1985-11-25
OUTRAS ATIVIDADES DE SERVIÇOS,178910,JOAQUIM PASSARINHO,PSD,PA,01362689000167,PARTIDO PROGRESSISTA BRASILEIRO PPB,2005-09-12
OUTRAS ATIVIDADES PROFISSIONAIS,204351,DR. LUIZ OVANDO,PSL,MS,01374629000164,SOCIEDADE BRASILEIRA DE CLINICA MEDICA REGIONAL MS,2005-09-12
COMÉRCIO VAREJISTA,160512,AUREO RIBEIRO,SOLIDARIEDADE,RJ,01457661000103,AUREO'S INFORMATICA LTDA,1996-08-30
OUTRAS ATIVIDADES DE SERVIÇOS,204390,PROFESSOR ALCIDES,PP,GO,01460690000124,ASSOCIACAO APARECIDENSE DE EDUCACAO,2005-09-12
INFORMAÇÃO E COMUNICAÇÃO,141459,JOÃO MAIA,PL,RN,01488996000199,KOSMONET CONSULTORIA E SERVICOS LTDA,1996-07-12
COMÉRCIO VAREJISTA,160600,ARTHUR OLIVEIRA MAIA,DEM,BA,01518155000187,LAPA DISTRIBUIDORA DE COMB E DERV DO PETROLEO LTDA,1996-07-29
COMÉRCIO VAREJISTA,160600,ARTHUR OLIVEIRA MAIA,DEM,BA,01518155000268,LAPA DISTRIBUIDORA DE COMB E DERV DO PETROLEO LTDA,1996-07-29
EDUCAÇÃO,204528,ADRIANA VENTURA,NOVO,SP,01533953000188,ESPACO 10 X 21 ARTE EM MOVIMENTO LTDA,1996-11-14
VIGILÂNCIA E LOCAÇÃO DE MÃO-DE-OBRA TERCEIRIZADA,204527,GENINHO ZULIANI,DEM,SP,01591815000155,COBRANI COBRANCAS EMPRESARIAL LTDA,1996-12-13
OUTRAS ATIVIDADES PROFISSIONAIS,160569,WALDENOR PEREIRA,PT,BA,01615206000199,"PROJETAR - PROJETOS, PESQUISAS E CONSULTORIA LTDA",1997-01-10
SAÚDE HUMANA E SERVIÇOS SOCIAIS,81297,DRA. SORAYA MANATO,PSL,ES,01629193000107,WORLD SAUDE LTDA,1997-01-08
OUTRAS ATIVIDADES DE SERVIÇOS,204386,JOSE MARIO SCHREINER,DEM,GO,01642347000109,FEDERACAO DA AGRICULTURA E PECUARIA DE GOIAS-FAEG,2018-10-29
OUTRAS ATIVIDADES PROFISSIONAIS,141459,JOÃO MAIA,PL,RN,01643468000167,JSM CONSULTORIA COMERCIAL E PARTICIPACOES LTDA,1997-01-14
ALOJAMENTO E ALIMENTAÇÃO,92699,FERNANDO MONTEIRO,PP,PE,01665333000100,ORLA SUL EMPREENDIMENTOS ARTISTICOS LTDA,1997-01-08
OUTROS PRODUTOS INDUSTRIAIS,204451,DELEGADO ANTÔNIO FURTADO,PSL,RJ,01700694000132,EDITORA LUZ BRASIL LTDA,1997-03-03
CONSTRUÇÃO,166402,MAGDA MOFATTO,PL,GO,01753713000199,DI ROMA EMPREENDIMENTOS IMOBILIARIOS LTDA,1997-04-10
INFORMAÇÃO E COMUNICAÇÃO,204436,ISNALDO BULHÕES JR.,MDB,AL,01771386000106,TV MASSAYO LTDA,1998-09-30
COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,74383,GIACOBO,PL,PR,01846246000141,GIACOBO & CIA LTDA,1997-05-14
"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",92699,FERNANDO MONTEIRO,PP,PE,01865584000120,DOM JOSE EMPREENDIMENTOS E PARTICIPACOES LTDA,1997-05-22
INFORMAÇÃO E COMUNICAÇÃO,109429,BENES LEOCÁDIO,REPUBLICANOS,RN,01879332000150,RADIO CABUGI DE ANGICOS LTDA,1997-06-06
ATIVIDADES IMOBILIÁRIAS,204516,ALEXIS FONTEYNE,NOVO,SP,01882701000164,KLANN & FONTEYNE PARTICIPACOES LTDA,2003-04-29
ALOJAMENTO E ALIMENTAÇÃO,204422,OSSESIO SILVA,REPUBLICANOS,PE,01889980000198,LANCHONETE PAO DA VIDA LTDA,1996-10-29
CONSTRUÇÃO,178954,LUCIO MOSQUINI,MDB,RO,01914786000115,ELETROSERVICE LTDA,2000-08-23
INFORMAÇÃO E COMUNICAÇÃO,116379,DARCI DE MATOS,PSD,SC,01941165000120,EMPRESA DE COMUNICACAO GAIA LTDA,1997-05-05
INFORMAÇÃO E COMUNICAÇÃO,204436,ISNALDO BULHÕES JR.,MDB,AL,01988803000169,CANAL 32 VIDEO PRODUCOES LTDA,1997-07-24
COMÉRCIO VAREJISTA,178994,DULCE MIRANDA,MDB,TO,02018779000106,MIRANDA & PAGANI LTDA,1997-07-28
EDUCAÇÃO,204543,LUIZ FLÁVIO GOMES,PSB,SP,02062530000190,PRIMA CURSOS PREPARATORIOS LTDA,2008-04-09
EDUCAÇÃO,204543,LUIZ FLÁVIO GOMES,PSB,SP,02062530000270,PRIMA CURSOS PREPARATORIOS LTDA,2008-04-09
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",166402,MAGDA MOFATTO,PL,GO,02071280000154,ROMA AGROPECUARIA E EMPREENDIMENTOS LTDA,1975-11-19
SAÚDE HUMANA E SERVIÇOS SOCIAIS,178876,CÉLIO SILVEIRA,PSDB,GO,02108895000108,"ALBUQUERQUE, SILVEIRA & VIDAL LTDA",1997-02-01
SAÚDE HUMANA E SERVIÇOS SOCIAIS,81297,DRA. SORAYA MANATO,PSL,ES,02142603000153,IDE - INSTITUTO DE DIAGNOSTICOS ESPECIALIZADOS LTDA,1997-09-11
SAÚDE HUMANA E SERVIÇOS SOCIAIS,81297,DRA. SORAYA MANATO,PSL,ES,02142603000234,IDE - INSTITUTO DE DIAGNOSTICOS ESPECIALIZADOS LTDA,1997-09-11
OUTRAS ATIVIDADES DE SERVIÇOS,154178,MILTON VIEIRA,REPUBLICANOS,SP,02148709000164,ABC ASSOCIACAO BENEFICENTE CRISTA,2005-09-12
"ARTES, CULTURA, ESPORTE E RECREAÇÃO",166402,MAGDA MOFATTO,PL,GO,02167740000142,THERMAS DI ROMA HOTEL CLUBE,2005-09-12
INFORMAÇÃO E COMUNICAÇÃO,204474,JUAREZ COSTA,MDB,MT,02212596000119,COSTA & LATANZI DA COSTA LTDA,1997-11-05
COMÉRCIO VAREJISTA,74400,PAULO PIMENTA,PT,RS,02249201000152,OURO NEGRO COMERCIO E SERVICOS LTDA - EM RECUPERACAO JUDICIAL,2007-09-19
"TRANSPORTE, ARMAZENAGEM E CORREIO",204496,CELSO SABINO,PSDB,PA,02254838000137,AMAZONIA LOGISTICA & NAVEGACAO LTDA,2013-01-08
COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,178895,MISAEL VARELLA,PSD,MG,02270243000175,VARELLA VEICULOS PESADOS LTDA,1997-12-04
COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,178895,MISAEL VARELLA,PSD,MG,02270243000256,VARELLA VEICULOS PESADOS LTDA,1997-12-04
COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,178895,MISAEL VARELLA,PSD,MG,02270243000337,VARELLA VEICULOS PESADOS LTDA,1997-12-04
COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,178895,MISAEL VARELLA,PSD,MG,02270243000418,VARELLA VEICULOS PESADOS LTDA,1997-12-04
COMÉRCIO VAREJISTA,74554,JOSÉ ROCHA,PL,BA,02284642000195,POSTO RIO CORRENTE LTDA,2011-05-10
COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,67138,IRACEMA PORTELLA,PP,PI,02297980000161,CIRO NOGUEIRA COMERCIO DE MOTOCICLETAS LTDA.,1997-12-26
COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,739,Ciro Nogueira,PP,PI,02297980000161,CIRO NOGUEIRA COMERCIO DE MOTOCICLETAS LTDA.,1997-12-26
COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,67138,IRACEMA PORTELLA,PP,PI,02297980000242,CIRO NOGUEIRA COMERCIO DE MOTOCICLETAS LTDA.,1997-12-26
COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,739,Ciro Nogueira,PP,PI,02297980000242,CIRO NOGUEIRA COMERCIO DE MOTOCICLETAS LTDA.,1997-12-26
COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,67138,IRACEMA PORTELLA,PP,PI,02297980000323,CIRO NOGUEIRA COMERCIO DE MOTOCICLETAS LTDA.,1997-12-26
COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,739,Ciro Nogueira,PP,PI,02297980000323,CIRO NOGUEIRA COMERCIO DE MOTOCICLETAS LTDA.,1997-12-26
COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,67138,IRACEMA PORTELLA,PP,PI,02297980000404,CIRO NOGUEIRA COMERCIO DE MOTOCICLETAS LTDA.,1997-12-26
COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,739,Ciro Nogueira,PP,PI,02297980000404,CIRO NOGUEIRA COMERCIO DE MOTOCICLETAS LTDA.,1997-12-26
COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,67138,IRACEMA PORTELLA,PP,PI,02297980000595,CIRO NOGUEIRA COMERCIO DE MOTOCICLETAS LTDA.,1997-12-26
COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,739,Ciro Nogueira,PP,PI,02297980000595,CIRO NOGUEIRA COMERCIO DE MOTOCICLETAS LTDA.,1997-12-26
COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,67138,IRACEMA PORTELLA,PP,PI,02297980000676,CIRO NOGUEIRA COMERCIO DE MOTOCICLETAS LTDA.,1997-12-26
COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,739,Ciro Nogueira,PP,PI,02297980000676,CIRO NOGUEIRA COMERCIO DE MOTOCICLETAS LTDA.,1997-12-26
COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,67138,IRACEMA PORTELLA,PP,PI,02297980000757,CIRO NOGUEIRA COMERCIO DE MOTOCICLETAS LTDA.,1997-12-26
COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,739,Ciro Nogueira,PP,PI,02297980000757,CIRO NOGUEIRA COMERCIO DE MOTOCICLETAS LTDA.,1997-12-26
COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,67138,IRACEMA PORTELLA,PP,PI,02297980000838,CIRO NOGUEIRA COMERCIO DE MOTOCICLETAS LTDA.,1997-12-26
COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,739,Ciro Nogueira,PP,PI,02297980000838,CIRO NOGUEIRA COMERCIO DE MOTOCICLETAS LTDA.,1997-12-26
COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,67138,IRACEMA PORTELLA,PP,PI,02297980000919,CIRO NOGUEIRA COMERCIO DE MOTOCICLETAS LTDA.,1997-12-26
COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,739,Ciro Nogueira,PP,PI,02297980000919,CIRO NOGUEIRA COMERCIO DE MOTOCICLETAS LTDA.,1997-12-26
COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,67138,IRACEMA PORTELLA,PP,PI,02297980001052,CIRO NOGUEIRA COMERCIO DE MOTOCICLETAS LTDA.,1997-12-26
COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,739,Ciro Nogueira,PP,PI,02297980001052,CIRO NOGUEIRA COMERCIO DE MOTOCICLETAS LTDA.,1997-12-26
COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,67138,IRACEMA PORTELLA,PP,PI,02297980001133,CIRO NOGUEIRA COMERCIO DE MOTOCICLETAS LTDA.,1997-12-26
COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,739,Ciro Nogueira,PP,PI,02297980001133,CIRO NOGUEIRA COMERCIO DE MOTOCICLETAS LTDA.,1997-12-26
