"id_proposicao","nome_proposicao","data_apresentacao_proposicao","ementa_proposicao","autor","indexacao","tema","uri_tramitacao","obj_votacao","cod_sessao","data_votacao","hora_votacao","tipo_documento_votacao","numero_documento","link_documento_votacao"
"2190190","MPV 866/2018","21/12/2018","Autoriza a criação da empresa pública NAV Brasil Serviços de Navegação Aérea S.A.

NOVA EMENTA: Autoriza a criação da empresa pública NAV Brasil Serviços de Navegação Aérea S.A. (NAV Brasil) e altera as Leis nºs 7.783, de 28 de junho de 1989, e 6.009, de 26 de dezembro de 1973."," Poder Executivo, Poder Executivo","Autorização, Poder Executivo, criação, empresa pública, NAV Brasil Serviços de Navegação Aérea S. A., Ministério da Defesa, Comando da Aeronáutica (Comaer), cisão, Empresa Brasileira de Infraestrutura Aeroportuária (Infraero). _Alteração, Lei de Greve (1989), serviços essenciais, navegação aérea. _Alteração, lei federal, Comandante da Aeronáutica, critério, reajuste, tarifa, navegação aérea, Índice Nacional de Preços ao Consumidor Amplo (IPCA), receita, Fundo Aeronáutico.","Administração Pública, Viação, Transporte e Mobilidade","https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2190190","DTQ 13 - PSOL - §2º DO ARTIGO 6º DO PLV","16938",2019-09-25,"17:21","PLV",NA,"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1735344"
"2187087","PL 5029/2019","21/11/2018","Dispõe sobre a remuneração recebida por funcionário de partido político com recursos do fundo partidário e dá outras providências.

NOVA EMENTA: Altera as Leis n°s 9.096, de 19 de setembro de 1995, 9.504, de 30 setembro de 1997, 4.737, de 15 de julho de 1965 (Código Eleitoral), 13.831, de 17 de maio de 2019, e a Consolidação das Leis do Trabalho, aprovada pelo Decreto-Lei nº 5.452, de 1º de maio de 1943, para dispor sobre regras aplicadas às eleições; revoga dispositivo da Lei nº 13.488, de 6 de outubro de 2017; e dá outras providências.","Domingos Neto - PSD/CE, Arthur Lira - PP/AL, Baleia Rossi - MDB/SP, Lucas Vergilio - SD/GO","Alteração, Regime Jurídico Único dos Servidores Públicos Civis da União, remuneração, servidor público, partido político, recursos, fundo partidário, equiparação, Cargo em comissão, desconto, isenção, encargo social, Encargo trabalhista. 
_Alteração, Lei Orgânica dos Partidos Políticos (1995), disciplinamento, remuneração, servidor público, partido político, recursos, fundo partidário, descumprimento, peculato.","Administração Pública, Política, Partidos e Eleições","https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2187087","DTQ 1: NOVO - EMENDA SUPRESSIVA DO SENADO FEDERAL, QUE SUPRIMIU O ART. 44...","16931",2019-09-18,"22:02","EMS",44,"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1808391"
"2187087","PL 5029/2019","21/11/2018","Dispõe sobre a remuneração recebida por funcionário de partido político com recursos do fundo partidário e dá outras providências.

NOVA EMENTA: Altera as Leis n°s 9.096, de 19 de setembro de 1995, 9.504, de 30 setembro de 1997, 4.737, de 15 de julho de 1965 (Código Eleitoral), 13.831, de 17 de maio de 2019, e a Consolidação das Leis do Trabalho, aprovada pelo Decreto-Lei nº 5.452, de 1º de maio de 1943, para dispor sobre regras aplicadas às eleições; revoga dispositivo da Lei nº 13.488, de 6 de outubro de 2017; e dá outras providências.","Domingos Neto - PSD/CE, Arthur Lira - PP/AL, Baleia Rossi - MDB/SP, Lucas Vergilio - SD/GO","Alteração, Regime Jurídico Único dos Servidores Públicos Civis da União, remuneração, servidor público, partido político, recursos, fundo partidário, equiparação, Cargo em comissão, desconto, isenção, encargo social, Encargo trabalhista. 
_Alteração, Lei Orgânica dos Partidos Políticos (1995), disciplinamento, remuneração, servidor público, partido político, recursos, fundo partidário, descumprimento, peculato.","Administração Pública, Política, Partidos e Eleições","https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2187087","DTQ 2: PSL - EMENDA DO SENADO FEDERAL QUE SUPRIME O INCISO X DO ART. 44...","16931",2019-09-18,"22:22","EMS",44,"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1808391"
"2187087","PL 5029/2019","21/11/2018","Dispõe sobre a remuneração recebida por funcionário de partido político com recursos do fundo partidário e dá outras providências.

NOVA EMENTA: Altera as Leis n°s 9.096, de 19 de setembro de 1995, 9.504, de 30 setembro de 1997, 4.737, de 15 de julho de 1965 (Código Eleitoral), 13.831, de 17 de maio de 2019, e a Consolidação das Leis do Trabalho, aprovada pelo Decreto-Lei nº 5.452, de 1º de maio de 1943, para dispor sobre regras aplicadas às eleições; revoga dispositivo da Lei nº 13.488, de 6 de outubro de 2017; e dá outras providências.","Domingos Neto - PSD/CE, Arthur Lira - PP/AL, Baleia Rossi - MDB/SP, Lucas Vergilio - SD/GO","Alteração, Regime Jurídico Único dos Servidores Públicos Civis da União, remuneração, servidor público, partido político, recursos, fundo partidário, equiparação, Cargo em comissão, desconto, isenção, encargo social, Encargo trabalhista. 
_Alteração, Lei Orgânica dos Partidos Políticos (1995), disciplinamento, remuneração, servidor público, partido político, recursos, fundo partidário, descumprimento, peculato.","Administração Pública, Política, Partidos e Eleições","https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2187087","DTQ 3: PSL - EMENDA DO SENADO FEDERAL QUE SUPRIME O ART. 11 DA LEI Nº 9504/97","16931",2019-09-18,"22:33","EMS",9504,"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1808391"
"2187087","PL 5029/2019","21/11/2018","Dispõe sobre a remuneração recebida por funcionário de partido político com recursos do fundo partidário e dá outras providências.

NOVA EMENTA: Altera as Leis n°s 9.096, de 19 de setembro de 1995, 9.504, de 30 setembro de 1997, 4.737, de 15 de julho de 1965 (Código Eleitoral), 13.831, de 17 de maio de 2019, e a Consolidação das Leis do Trabalho, aprovada pelo Decreto-Lei nº 5.452, de 1º de maio de 1943, para dispor sobre regras aplicadas às eleições; revoga dispositivo da Lei nº 13.488, de 6 de outubro de 2017; e dá outras providências.","Domingos Neto - PSD/CE, Arthur Lira - PP/AL, Baleia Rossi - MDB/SP, Lucas Vergilio - SD/GO","Alteração, Regime Jurídico Único dos Servidores Públicos Civis da União, remuneração, servidor público, partido político, recursos, fundo partidário, equiparação, Cargo em comissão, desconto, isenção, encargo social, Encargo trabalhista. 
_Alteração, Lei Orgânica dos Partidos Políticos (1995), disciplinamento, remuneração, servidor público, partido político, recursos, fundo partidário, descumprimento, peculato.","Administração Pública, Política, Partidos e Eleições","https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2187087","DTQ 4: PSL - EMENDA DO SENADO FEDERAL QUE SUPRIME O INCISO VIII DO ART. 44...","16931",2019-09-18,"22:09","EMS",44,"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1808391"
"2187087","PL 5029/2019","21/11/2018","Dispõe sobre a remuneração recebida por funcionário de partido político com recursos do fundo partidário e dá outras providências.

NOVA EMENTA: Altera as Leis n°s 9.096, de 19 de setembro de 1995, 9.504, de 30 setembro de 1997, 4.737, de 15 de julho de 1965 (Código Eleitoral), 13.831, de 17 de maio de 2019, e a Consolidação das Leis do Trabalho, aprovada pelo Decreto-Lei nº 5.452, de 1º de maio de 1943, para dispor sobre regras aplicadas às eleições; revoga dispositivo da Lei nº 13.488, de 6 de outubro de 2017; e dá outras providências.","Domingos Neto - PSD/CE, Arthur Lira - PP/AL, Baleia Rossi - MDB/SP, Lucas Vergilio - SD/GO","Alteração, Regime Jurídico Único dos Servidores Públicos Civis da União, remuneração, servidor público, partido político, recursos, fundo partidário, equiparação, Cargo em comissão, desconto, isenção, encargo social, Encargo trabalhista. 
_Alteração, Lei Orgânica dos Partidos Políticos (1995), disciplinamento, remuneração, servidor público, partido político, recursos, fundo partidário, descumprimento, peculato.","Administração Pública, Política, Partidos e Eleições","https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2187087","DTQ 6: CIDADANIA - EMENDA DO SF QUE SUPRIME O PARÁGRAFO ÚNICO DO ART. 18-A...","16931",2019-09-18,"22:44","EMP",NA,"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1802057"
"2187087","PL 5029/2019","21/11/2018","Dispõe sobre a remuneração recebida por funcionário de partido político com recursos do fundo partidário e dá outras providências.

NOVA EMENTA: Altera as Leis n°s 9.096, de 19 de setembro de 1995, 9.504, de 30 setembro de 1997, 4.737, de 15 de julho de 1965 (Código Eleitoral), 13.831, de 17 de maio de 2019, e a Consolidação das Leis do Trabalho, aprovada pelo Decreto-Lei nº 5.452, de 1º de maio de 1943, para dispor sobre regras aplicadas às eleições; revoga dispositivo da Lei nº 13.488, de 6 de outubro de 2017; e dá outras providências.","Domingos Neto - PSD/CE, Arthur Lira - PP/AL, Baleia Rossi - MDB/SP, Lucas Vergilio - SD/GO","Alteração, Regime Jurídico Único dos Servidores Públicos Civis da União, remuneração, servidor público, partido político, recursos, fundo partidário, equiparação, Cargo em comissão, desconto, isenção, encargo social, Encargo trabalhista. 
_Alteração, Lei Orgânica dos Partidos Políticos (1995), disciplinamento, remuneração, servidor público, partido político, recursos, fundo partidário, descumprimento, peculato.","Administração Pública, Política, Partidos e Eleições","https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2187087","DTQ 5: PSOL - VOTAÇÃO DA EMENDA SUPRESSIVA  REFERENTE AO ART. 26...","16931",2019-09-18,"22:55","EMP",26,"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1802057"
"2187087","PL 5029/2019","21/11/2018","Dispõe sobre a remuneração recebida por funcionário de partido político com recursos do fundo partidário e dá outras providências.

NOVA EMENTA: Altera as Leis n°s 9.096, de 19 de setembro de 1995, 9.504, de 30 setembro de 1997, 4.737, de 15 de julho de 1965 (Código Eleitoral), 13.831, de 17 de maio de 2019, e a Consolidação das Leis do Trabalho, aprovada pelo Decreto-Lei nº 5.452, de 1º de maio de 1943, para dispor sobre regras aplicadas às eleições; revoga dispositivo da Lei nº 13.488, de 6 de outubro de 2017; e dá outras providências.","Domingos Neto - PSD/CE, Arthur Lira - PP/AL, Baleia Rossi - MDB/SP, Lucas Vergilio - SD/GO","Alteração, Regime Jurídico Único dos Servidores Públicos Civis da União, remuneração, servidor público, partido político, recursos, fundo partidário, equiparação, Cargo em comissão, desconto, isenção, encargo social, Encargo trabalhista. 
_Alteração, Lei Orgânica dos Partidos Políticos (1995), disciplinamento, remuneração, servidor público, partido político, recursos, fundo partidário, descumprimento, peculato.","Administração Pública, Política, Partidos e Eleições","https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2187087","DTQ 7: PODEMOS - EMENDA SUPRESSIVA REFERENTE AO PARÁGRAFO ÚNICO DO ART. 3º...","16931",2019-09-18,"23:06","EMP",NA,"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1802057"
"16526","PL 1292/1995","30/11/1995","Altera a lei nº 8.666, de 21 de junho de 1993, que regulamenta o art. 37, inciso XXI, da Constituição Federal, institui normas para licitações e contratos da Administração Pública e dá outras providências.

NOVA EMENTA: Estabelece normas gerais de licitação e contratação para as administrações públicas diretas, autárquicas e fundacionais da União, dos Estados, do Distrito Federal e dos Municípios; altera as Leis nºs 13.105, de 16 de março de 2015 (Código de Processo Civil), 8.987, de 13 de fevereiro de 1995, e 11.079, de 30 de dezembro de 2004, e o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal); e revoga dispositivos da Lei nº 12.462, de 4 de agosto de 2011, e as Leis nºs 8.666, de 21 de junho de 1993, e 10.520, de 17 de julho de 2002."," Senado Federal - Lauro Campos - PT/DF, Senado Federal - Lauro Campos - PT/DF","Alteração, Lei  das Licitações, obrigatoriedade, contratado, participação, realização, subcontratação, prazo, pagamento, benefício, administração, reajustamento, preço, revisão, natureza contratual, manutenção,  efetivação, comprovação, contratante, direitos, proporcionalidade, encargo.","Administração Pública","https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=16526","DTQ 27 - PDT - EXP. ""... EM PERCENTUAL EQUIVALENTE A ATÉ 30%..."" - ART. 97","16928",2019-09-17,"18:34","PL",97,"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1727397"
"16526","PL 1292/1995","30/11/1995","Altera a lei nº 8.666, de 21 de junho de 1993, que regulamenta o art. 37, inciso XXI, da Constituição Federal, institui normas para licitações e contratos da Administração Pública e dá outras providências.

NOVA EMENTA: Estabelece normas gerais de licitação e contratação para as administrações públicas diretas, autárquicas e fundacionais da União, dos Estados, do Distrito Federal e dos Municípios; altera as Leis nºs 13.105, de 16 de março de 2015 (Código de Processo Civil), 8.987, de 13 de fevereiro de 1995, e 11.079, de 30 de dezembro de 2004, e o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal); e revoga dispositivos da Lei nº 12.462, de 4 de agosto de 2011, e as Leis nºs 8.666, de 21 de junho de 1993, e 10.520, de 17 de julho de 2002."," Senado Federal - Lauro Campos - PT/DF, Senado Federal - Lauro Campos - PT/DF","Alteração, Lei  das Licitações, obrigatoriedade, contratado, participação, realização, subcontratação, prazo, pagamento, benefício, administração, reajustamento, preço, revisão, natureza contratual, manutenção,  efetivação, comprovação, contratante, direitos, proporcionalidade, encargo.","Administração Pública","https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=16526","DTQ 9 - NOVO - ART. 25 DO SUBSTITUTIVO","16923",2019-09-11,"17:19","SBT",25,"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1697132"
"16526","PL 1292/1995","30/11/1995","Altera a lei nº 8.666, de 21 de junho de 1993, que regulamenta o art. 37, inciso XXI, da Constituição Federal, institui normas para licitações e contratos da Administração Pública e dá outras providências.

NOVA EMENTA: Estabelece normas gerais de licitação e contratação para as administrações públicas diretas, autárquicas e fundacionais da União, dos Estados, do Distrito Federal e dos Municípios; altera as Leis nºs 13.105, de 16 de março de 2015 (Código de Processo Civil), 8.987, de 13 de fevereiro de 1995, e 11.079, de 30 de dezembro de 2004, e o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal); e revoga dispositivos da Lei nº 12.462, de 4 de agosto de 2011, e as Leis nºs 8.666, de 21 de junho de 1993, e 10.520, de 17 de julho de 2002."," Senado Federal - Lauro Campos - PT/DF, Senado Federal - Lauro Campos - PT/DF","Alteração, Lei  das Licitações, obrigatoriedade, contratado, participação, realização, subcontratação, prazo, pagamento, benefício, administração, reajustamento, preço, revisão, natureza contratual, manutenção,  efetivação, comprovação, contratante, direitos, proporcionalidade, encargo.","Administração Pública","https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=16526","DTQ 21 - PCdoB - EMENDA Nº 48","16923",2019-09-11,"19:43","EMP",48,"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1732246"
"16526","PL 1292/1995","30/11/1995","Altera a lei nº 8.666, de 21 de junho de 1993, que regulamenta o art. 37, inciso XXI, da Constituição Federal, institui normas para licitações e contratos da Administração Pública e dá outras providências.

NOVA EMENTA: Estabelece normas gerais de licitação e contratação para as administrações públicas diretas, autárquicas e fundacionais da União, dos Estados, do Distrito Federal e dos Municípios; altera as Leis nºs 13.105, de 16 de março de 2015 (Código de Processo Civil), 8.987, de 13 de fevereiro de 1995, e 11.079, de 30 de dezembro de 2004, e o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal); e revoga dispositivos da Lei nº 12.462, de 4 de agosto de 2011, e as Leis nºs 8.666, de 21 de junho de 1993, e 10.520, de 17 de julho de 2002."," Senado Federal - Lauro Campos - PT/DF, Senado Federal - Lauro Campos - PT/DF","Alteração, Lei  das Licitações, obrigatoriedade, contratado, participação, realização, subcontratação, prazo, pagamento, benefício, administração, reajustamento, preço, revisão, natureza contratual, manutenção,  efetivação, comprovação, contratante, direitos, proporcionalidade, encargo.","Administração Pública","https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=16526","DTQ 15 - PSD - EMENDA Nº 36","16924",2019-09-11,"20:27","EMP",36,"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1731055"
"16526","PL 1292/1995","30/11/1995","Altera a lei nº 8.666, de 21 de junho de 1993, que regulamenta o art. 37, inciso XXI, da Constituição Federal, institui normas para licitações e contratos da Administração Pública e dá outras providências.

NOVA EMENTA: Estabelece normas gerais de licitação e contratação para as administrações públicas diretas, autárquicas e fundacionais da União, dos Estados, do Distrito Federal e dos Municípios; altera as Leis nºs 13.105, de 16 de março de 2015 (Código de Processo Civil), 8.987, de 13 de fevereiro de 1995, e 11.079, de 30 de dezembro de 2004, e o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal); e revoga dispositivos da Lei nº 12.462, de 4 de agosto de 2011, e as Leis nºs 8.666, de 21 de junho de 1993, e 10.520, de 17 de julho de 2002."," Senado Federal - Lauro Campos - PT/DF, Senado Federal - Lauro Campos - PT/DF","Alteração, Lei  das Licitações, obrigatoriedade, contratado, participação, realização, subcontratação, prazo, pagamento, benefício, administração, reajustamento, preço, revisão, natureza contratual, manutenção,  efetivação, comprovação, contratante, direitos, proporcionalidade, encargo.","Administração Pública","https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=16526","DTQ 13 - REPUBLICANOS - EMENDA Nº 3","16924",2019-09-11,"20:55","EMP",3,"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1723554"
