id_parlamentar,casa,data_inicio,data_fim,situacao,cod_causa_fim_exercicio,desc_causa_fim_exercicio,id_legislatura
74291,camara,2007-02-01,2011-01-31,Titular,99,Término da Legislatura,53
74291,camara,2011-02-01,2015-01-31,Titular,99,Término da Legislatura,54
74291,camara,2015-02-01,2017-01-01,Titular,16,Renúncia,55
74833,camara,2003-02-01,2003-02-05,Titular,13,Secretário de Prefeitura de Capital,52
74833,camara,2007-02-01,2007-02-13,Titular,13,Secretário de Prefeitura de Capital,53
74833,camara,2011-02-01,2015-01-31,Titular,99,Término da Legislatura,54
74833,camara,2015-02-01,2015-02-06,Titular,12,Secretário de Estado,55
160541,camara,2011-02-01,2013-12-11,Titular,5,Licença para Tratar de Interesse Particular,54
160541,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
160541,camara,2019-02-01,NA,Titular,NA,NA,56
160600,camara,2011-02-01,2015-01-31,Titular,99,Término da Legislatura,54
160600,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
160600,camara,2019-02-01,NA,Titular,NA,NA,56
178847,camara,2015-02-01,2017-09-12,Titular,13,Secretário de Prefeitura de Capital,55
159237,camara,2011-02-01,2015-01-31,Titular,99,Término da Legislatura,54
159237,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
159237,camara,2019-02-01,2020-07-05,Titular,15,Falecimento,56
74378,camara,2003-02-01,2007-01-31,Titular,99,Término da Legislatura,52
74378,camara,2007-02-01,2011-01-31,Titular,99,Término da Legislatura,53
74378,camara,2011-02-01,2015-01-31,Titular,99,Término da Legislatura,54
74378,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
160581,camara,2011-02-01,2015-01-31,Titular,99,Término da Legislatura,54
160581,camara,2017-01-02,2017-04-26,Suplente,53,Afastamento,55
193165,camara,2016-01-06,2016-02-23,Suplente,53,Afastamento,55
74090,camara,2003-02-01,2007-01-31,Titular,99,Término da Legislatura,52
74090,camara,2007-02-01,2011-01-31,Titular,99,Término da Legislatura,53
74090,camara,2011-02-01,2015-01-31,Titular,99,Término da Legislatura,54
74090,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
74090,camara,2019-02-01,NA,Titular,NA,NA,56
74459,camara,2003-02-01,2007-01-31,Titular,99,Término da Legislatura,52
74459,camara,2007-02-01,2011-01-01,Titular,12,Secretário de Estado,53
74459,camara,2011-02-01,2011-02-03,Titular,12,Secretário de Estado,54
74459,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
74459,camara,2019-02-01,NA,Titular,NA,NA,56
73655,camara,2007-02-01,2008-08-21,Titular,12,Secretário de Estado,53
73655,camara,2011-02-08,2011-11-22,Suplente,53,Afastamento,54
73655,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
160665,camara,2011-02-01,2015-01-31,Titular,99,Término da Legislatura,54
160665,camara,2015-02-04,2019-01-31,Efetivado,99,Término da Legislatura,55
160665,camara,2019-02-01,NA,Titular,NA,NA,56
160512,camara,2011-02-01,2015-01-31,Titular,99,Término da Legislatura,54
160512,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
160512,camara,2019-02-01,NA,Titular,NA,NA,56
69871,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
69871,camara,2019-02-01,NA,Titular,NA,NA,56
178975,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
178975,camara,2019-02-01,NA,Titular,NA,NA,56
178834,camara,2015-01-08,2015-01-30,Suplente,53,Afastamento,54
178834,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
73701,camara,2011-02-01,2015-01-31,Titular,99,Término da Legislatura,54
73701,camara,2015-02-01,2016-05-18,Titular,7,Licença para Tratamento de Saúde,55
73701,camara,2019-02-01,NA,Titular,NA,NA,56
74535,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
74040,camara,2003-02-01,2007-01-31,Titular,99,Término da Legislatura,52
74040,camara,2011-02-01,2012-07-05,Titular,20,Licença Conjunta Consecutiva,54
74040,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
178915,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
141335,camara,2007-01-02,2007-01-31,Suplente,99,Término da Legislatura,52
141335,camara,2007-02-01,2011-01-31,Titular,99,Término da Legislatura,53
141335,camara,2011-02-01,2015-01-31,Titular,99,Término da Legislatura,54
141335,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
141335,camara,2019-02-01,NA,Titular,NA,NA,56
73437,camara,2007-02-01,2011-01-31,Titular,99,Término da Legislatura,53
73437,camara,2011-02-01,2015-01-31,Titular,99,Término da Legislatura,54
73437,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
178948,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
178948,camara,2019-02-01,NA,Titular,NA,NA,56
178906,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
141513,camara,2007-02-01,2011-01-03,Titular,12,Secretário de Estado,53
141513,camara,2011-02-01,2011-02-03,Titular,12,Secretário de Estado,54
141513,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
141513,camara,2019-02-01,2019-08-29,Titular,12,Secretário de Estado,56
160538,camara,2011-02-01,2015-01-31,Titular,99,Término da Legislatura,54
160538,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
160538,camara,2019-02-01,NA,Titular,NA,NA,56
74650,camara,2003-02-01,2007-01-31,Titular,99,Término da Legislatura,52
74650,camara,2007-02-01,2011-01-31,Titular,99,Término da Legislatura,53
74650,camara,2011-02-04,2015-01-31,Efetivado,99,Término da Legislatura,54
74650,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
74052,camara,2003-02-01,2007-01-31,Titular,99,Término da Legislatura,52
74052,camara,2016-07-12,2016-11-10,Suplente,53,Afastamento,55
74052,camara,2019-02-01,NA,Titular,NA,NA,56
160589,camara,2011-02-01,2015-01-31,Titular,99,Término da Legislatura,54
160589,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
160589,camara,2019-02-01,NA,Titular,NA,NA,56
178999,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
141394,camara,2007-02-01,2011-01-31,Titular,99,Término da Legislatura,53
141394,camara,2011-02-01,2015-01-31,Titular,99,Término da Legislatura,54
141394,camara,2015-02-01,2016-05-12,Titular,11,Ministro de Estado,55
178976,camara,2015-02-01,2017-01-01,Titular,16,Renúncia,55
178938,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
178865,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
105112,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
93083,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
93083,camara,2019-02-01,NA,Titular,NA,NA,56
178853,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
178891,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
194261,camara,2016-05-17,2019-01-31,Efetivado,99,Término da Legislatura,55
178829,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
178829,camara,2019-02-01,NA,Titular,NA,NA,56
178924,camara,2015-02-01,2015-03-10,Titular,12,Secretário de Estado,55
178924,camara,2019-02-01,2019-03-28,Titular,12,Secretário de Estado,56
205303,camara,2019-01-03,2019-01-31,Suplente,99,Término da Legislatura,55
178958,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
141401,camara,2007-02-01,2007-09-28,Titular,20,Licença Conjunta Consecutiva,53
141401,camara,2011-02-01,2012-07-03,Titular,20,Licença Conjunta Consecutiva,54
141401,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
141401,camara,2019-02-01,2019-02-27,Titular,20,Licença Conjunta Consecutiva,56
74474,camara,2003-02-01,2007-01-31,Titular,99,Término da Legislatura,52
74474,camara,2007-02-01,2011-01-31,Titular,99,Término da Legislatura,53
74474,camara,2011-02-01,2015-01-31,Titular,99,Término da Legislatura,54
74474,camara,2015-02-04,2016-04-14,Suplente,53,Afastamento,55
178962,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
178962,camara,2019-02-01,NA,Titular,NA,NA,56
178993,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
178993,camara,2019-02-01,NA,Titular,NA,NA,56
74163,camara,2003-02-01,2003-02-20,Titular,7,Licença para Tratamento de Saúde,52
74163,camara,2007-02-01,2011-01-31,Titular,99,Término da Legislatura,53
74163,camara,2011-02-01,2015-01-31,Titular,99,Término da Legislatura,54
74163,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
178900,camara,2015-02-01,2017-12-15,Titular,11,Ministro de Estado,55
74651,camara,2003-02-01,2007-01-31,Titular,99,Término da Legislatura,52
74651,camara,2007-02-01,2011-01-03,Titular,12,Secretário de Estado,53
74651,camara,2011-02-01,2011-02-03,Titular,12,Secretário de Estado,54
74651,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
74262,camara,2003-02-01,2007-01-31,Titular,99,Término da Legislatura,52
74262,camara,2007-02-01,2011-01-31,Titular,99,Término da Legislatura,53
74262,camara,2011-02-01,2015-01-31,Titular,99,Término da Legislatura,54
74262,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
74262,camara,2019-02-01,NA,Titular,NA,NA,56
73934,camara,2003-02-01,2007-01-31,Titular,99,Término da Legislatura,52
73934,camara,2007-02-01,2008-12-31,Titular,16,Renúncia,53
73934,camara,2011-02-01,2014-10-29,Titular,16,Renúncia,54
73934,camara,2017-09-12,2018-04-20,Suplente,53,Afastamento,55
141398,camara,2007-02-01,2011-01-31,Titular,99,Término da Legislatura,53
141398,camara,2011-02-01,2015-01-31,Titular,99,Término da Legislatura,54
141398,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
141398,camara,2019-02-01,NA,Titular,NA,NA,56
164360,camara,2011-03-02,2011-10-25,Suplente,53,Afastamento,54
164360,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
164360,camara,2019-02-01,NA,Titular,NA,NA,56
178876,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
178876,camara,2019-02-01,NA,Titular,NA,NA,56
73568,camara,2013-02-26,2013-03-05,Suplente,53,Afastamento,54
73568,camara,2015-02-10,2015-02-12,Efetivado,53,Afastamento,55
141405,camara,2007-02-01,2011-01-31,Titular,99,Término da Legislatura,53
141405,camara,2011-02-01,2015-01-31,Titular,99,Término da Legislatura,54
141405,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
141405,camara,2019-02-01,NA,Titular,NA,NA,56
73441,camara,2003-02-01,2007-01-31,Titular,99,Término da Legislatura,52
73441,camara,2007-02-01,2011-01-31,Titular,99,Término da Legislatura,53
73441,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
73441,camara,2019-02-01,NA,Titular,NA,NA,56
178838,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
73720,camara,2015-02-01,2015-10-27,Titular,12,Secretário de Estado,55
74171,camara,2003-02-01,2007-01-31,Titular,99,Término da Legislatura,52
74171,camara,2007-02-01,2011-01-31,Titular,99,Término da Legislatura,53
74171,camara,2011-02-01,2015-01-31,Titular,99,Término da Legislatura,54
74171,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
178939,camara,2015-02-01,2017-01-01,Titular,13,Secretário de Prefeitura de Capital,55
178939,camara,2019-02-01,NA,Titular,NA,NA,56
74537,camara,2003-02-01,2007-01-31,Titular,99,Término da Legislatura,52
74537,camara,2007-02-01,2011-01-31,Titular,99,Término da Legislatura,53
74537,camara,2011-02-01,2015-01-31,Titular,99,Término da Legislatura,54
74537,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
74537,camara,2019-02-01,NA,Titular,NA,NA,56
141408,camara,2007-02-01,2011-01-31,Titular,99,Término da Legislatura,53
141408,camara,2011-02-01,2012-05-31,Titular,20,Licença Conjunta Consecutiva,54
141408,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
141408,camara,2019-02-01,2019-12-02,Titular,20,Licença Conjunta Consecutiva,56
74230,camara,2003-02-01,2007-01-31,Titular,99,Término da Legislatura,52
74230,camara,2007-02-01,2011-01-31,Titular,99,Término da Legislatura,53
74230,camara,2013-01-03,2014-04-08,Suplente,53,Afastamento,54
178848,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
93472,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
74467,camara,2004-07-01,2004-11-23,Suplente,53,Afastamento,52
74467,camara,2007-02-01,2011-01-31,Titular,99,Término da Legislatura,53
74467,camara,2011-02-01,2015-01-31,Titular,99,Término da Legislatura,54
74467,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
74467,camara,2019-02-01,NA,Titular,NA,NA,56
160528,camara,2011-02-01,2011-02-14,Titular,12,Secretário de Estado,54
160528,camara,2015-02-01,2015-02-04,Titular,12,Secretário de Estado,55
160528,camara,2019-02-01,NA,Titular,NA,NA,56
62881,camara,2011-02-01,2015-01-31,Titular,99,Término da Legislatura,54
62881,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
62881,camara,2020-06-17,2020-10-16,Efetivado,53,Afastamento,56
160552,camara,2011-02-01,2015-01-31,Titular,99,Término da Legislatura,54
160552,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
160552,camara,2019-02-01,NA,Titular,NA,NA,56
74172,camara,2003-02-01,2007-01-31,Titular,99,Término da Legislatura,52
74172,camara,2007-02-01,2011-01-31,Titular,99,Término da Legislatura,53
74172,camara,2011-03-02,2011-11-09,Suplente,53,Afastamento,54
74172,camara,2015-02-01,2015-12-10,Titular,12,Secretário de Estado,55
73768,camara,2003-02-01,2007-01-31,Titular,99,Término da Legislatura,52
73768,camara,2007-02-01,2011-01-31,Titular,99,Término da Legislatura,53
73768,camara,2011-02-01,2015-01-31,Titular,99,Término da Legislatura,54
73768,camara,2015-02-01,2018-04-19,Titular,12,Secretário de Estado,55
160758,camara,2011-02-01,2015-01-31,Titular,99,Término da Legislatura,54
160758,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
160758,camara,2019-02-01,NA,Titular,NA,NA,56
178830,camara,2015-01-02,2015-01-31,Suplente,99,Término da Legislatura,54
178830,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
178830,camara,2020-03-04,2020-11-16,Suplente,53,Afastamento,56
141385,camara,2007-02-01,2011-01-31,Titular,99,Término da Legislatura,53
141385,camara,2011-02-01,2015-01-01,Titular,12,Secretário de Estado,54
141385,camara,2015-02-01,2015-02-03,Titular,12,Secretário de Estado,55
178994,camara,2015-02-01,2018-08-01,Titular,20,Licença Conjunta Consecutiva,55
178994,camara,2019-02-01,NA,Titular,NA,NA,56
73447,camara,2011-02-01,2015-01-01,Titular,11,Ministro de Estado,54
73447,camara,2015-02-01,2015-02-02,Titular,11,Ministro de Estado,55
73793,camara,2003-02-01,2003-03-10,Titular,12,Secretário de Estado,52
73793,camara,2007-02-01,2011-01-31,Titular,99,Término da Legislatura,53
73793,camara,2011-02-01,2015-01-31,Titular,99,Término da Legislatura,54
73793,camara,2015-02-05,2015-02-25,Suplente,53,Afastamento,55
178883,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
160575,camara,2011-02-01,2015-01-31,Titular,99,Término da Legislatura,54
160575,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
160575,camara,2019-02-01,NA,Titular,NA,NA,56
160640,camara,2011-02-01,2012-10-25,Titular,12,Secretário de Estado,54
160640,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
160640,camara,2019-02-01,NA,Titular,NA,NA,56
160649,camara,2011-02-01,2015-01-31,Titular,99,Término da Legislatura,54
160649,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
178871,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
178871,camara,2019-02-01,NA,Titular,NA,NA,56
178953,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
178953,camara,2019-02-01,NA,Titular,NA,NA,56
146829,camara,2015-02-01,2015-05-19,Titular,13,Secretário de Prefeitura de Capital,55
141428,camara,2007-02-01,2011-01-31,Titular,99,Término da Legislatura,53
141428,camara,2011-02-01,2015-01-31,Titular,99,Término da Legislatura,54
141428,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
141428,camara,2019-02-01,NA,Titular,NA,NA,56
178969,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
178969,camara,2019-02-01,NA,Titular,NA,NA,56
72442,camara,2015-02-01,2015-02-04,Titular,12,Secretário de Estado,55
72442,camara,2019-02-01,NA,Titular,NA,NA,56
163831,camara,2011-02-21,2011-02-22,Suplente,53,Afastamento,54
163831,camara,2015-02-01,2016-12-31,Titular,16,Renúncia,55
73481,camara,2009-01-06,2011-01-31,Efetivado,99,Término da Legislatura,53
73481,camara,2011-02-03,2014-04-02,Suplente,53,Afastamento,54
73481,camara,2015-02-09,2015-10-05,Suplente,53,Afastamento,55
92699,camara,2015-02-04,2016-04-15,Efetivado,53,Afastamento,55
92699,camara,2019-02-01,NA,Titular,NA,NA,56
160676,camara,2011-02-01,2015-01-31,Titular,99,Término da Legislatura,54
160676,camara,2015-02-03,2015-07-07,Efetivado,53,Afastamento,55
160598,camara,2011-02-01,2015-01-31,Titular,99,Término da Legislatura,54
160598,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
160598,camara,2019-02-01,NA,Titular,NA,NA,56
141434,camara,2007-02-01,2011-01-31,Titular,99,Término da Legislatura,53
141434,camara,2011-02-01,2015-01-31,Titular,99,Término da Legislatura,54
141434,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
141434,camara,2019-02-01,NA,Titular,NA,NA,56
178978,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
191923,camara,2015-10-06,2016-02-17,Suplente,53,Afastamento,55
191923,camara,2019-02-01,NA,Titular,NA,NA,56
178979,camara,2015-02-01,2015-02-03,Titular,12,Secretário de Estado,55
178907,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
186775,camara,2015-03-09,2018-05-23,"
        ",36,Afastamento por Decisão,55
129037,camara,2011-02-01,2015-01-31,Titular,99,Término da Legislatura,54
129037,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
160669,camara,2011-02-01,2015-01-31,Titular,99,Término da Legislatura,54
160669,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
160669,camara,2019-02-01,NA,Titular,NA,NA,56
141441,camara,2007-02-01,2011-01-31,Titular,99,Término da Legislatura,53
141441,camara,2011-02-01,2015-01-01,Titular,11,Ministro de Estado,54
141441,camara,2015-02-01,2015-02-02,Titular,11,Ministro de Estado,55
178966,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
178966,camara,2019-02-01,NA,Titular,NA,NA,56
74374,camara,2003-02-01,2007-01-31,Titular,99,Término da Legislatura,52
74374,camara,2007-02-01,2011-01-31,Titular,99,Término da Legislatura,53
74374,camara,2011-02-01,2015-01-31,Titular,99,Término da Legislatura,54
74374,camara,2015-02-01,2019-01-01,Titular,12,Secretário de Estado,55
74374,camara,2019-02-05,2019-02-06,Suplente,12,Secretário de Estado,56
74383,camara,2003-02-01,2007-01-31,Titular,99,Término da Legislatura,52
74383,camara,2007-02-01,2011-01-31,Titular,99,Término da Legislatura,53
74383,camara,2011-02-01,2015-01-31,Titular,99,Término da Legislatura,54
74383,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
74383,camara,2019-02-01,NA,Titular,NA,NA,56
74270,camara,2003-02-01,2007-01-31,Titular,99,Término da Legislatura,52
74270,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
74270,camara,2019-02-01,NA,Titular,NA,NA,56
160673,camara,2011-02-01,2015-01-31,Titular,99,Término da Legislatura,54
160673,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
160673,camara,2019-02-01,NA,Titular,NA,NA,56
178996,camara,2015-02-01,2015-02-12,Titular,12,Secretário de Estado,55
178996,camara,2019-02-01,NA,Titular,NA,NA,56
74077,camara,2007-02-01,2011-01-31,Titular,99,Término da Legislatura,53
74077,camara,2011-02-01,2015-01-31,Titular,99,Término da Legislatura,54
74077,camara,2019-01-08,2019-01-31,Efetivado,99,Término da Legislatura,55
178878,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
74558,camara,2003-02-01,2007-01-31,Titular,99,Término da Legislatura,52
74558,camara,2007-02-01,2011-01-31,Titular,99,Término da Legislatura,53
74558,camara,2011-02-01,2015-01-31,Titular,99,Término da Legislatura,54
74558,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
178872,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
152605,camara,2009-01-06,2009-02-02,Suplente,53,Afastamento,53
152605,camara,2011-02-01,2015-01-31,Titular,99,Término da Legislatura,54
152605,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
152605,camara,2019-02-01,NA,Titular,NA,NA,56
74419,camara,2003-02-01,2007-01-31,Titular,99,Término da Legislatura,52
74419,camara,2007-02-01,2011-01-31,Titular,99,Término da Legislatura,53
74419,camara,2011-02-01,2015-01-31,Titular,99,Término da Legislatura,54
74419,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
74419,camara,2019-02-01,NA,Titular,NA,NA,56
129618,camara,2004-06-21,2004-10-20,Suplente,53,Afastamento,52
129618,camara,2007-02-01,2011-01-31,Titular,99,Término da Legislatura,53
129618,camara,2011-02-01,2015-01-31,Titular,99,Término da Legislatura,54
129618,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
129618,camara,2020-12-21,2021-01-31,Suplente,12,Secretário de Estado,56
178980,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
194259,camara,2016-05-17,2016-07-12,Suplente,53,Afastamento,55
160667,camara,2011-02-01,2015-01-31,Titular,99,Término da Legislatura,54
160667,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
160667,camara,2019-02-01,2019-08-13,Titular,20,Licença Conjunta Consecutiva,56
205298,camara,2019-01-02,2019-01-31,Suplente,99,Término da Legislatura,55
178964,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
178964,camara,2019-02-01,NA,Titular,NA,NA,56
178873,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
178873,camara,2019-02-01,NA,Titular,NA,NA,56
178981,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
178981,camara,2019-02-01,NA,Titular,NA,NA,56
160596,camara,2011-02-01,2015-01-31,Titular,99,Término da Legislatura,54
160596,camara,2015-02-01,2016-07-14,Titular,20,Licença Conjunta Consecutiva,55
141450,camara,2007-02-01,2011-01-31,Titular,99,Término da Legislatura,53
141450,camara,2011-02-01,2015-01-31,Titular,99,Término da Legislatura,54
141450,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
141450,camara,2019-02-01,NA,Titular,NA,NA,56
160674,camara,2011-02-01,2015-01-31,Titular,99,Término da Legislatura,54
160674,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
160674,camara,2019-02-01,NA,Titular,NA,NA,56
74662,camara,2007-02-01,2011-01-31,Titular,99,Término da Legislatura,53
74662,camara,2012-12-19,2013-11-26,Suplente,53,Afastamento,54
194592,camara,2016-06-21,2016-10-19,Suplente,53,Afastamento,55
141389,camara,2007-02-01,2011-01-31,Titular,99,Término da Legislatura,53
141389,camara,2015-02-01,2017-01-01,Titular,13,Secretário de Prefeitura de Capital,55
