texto,tema,id,_id_survey
"Revisão dos critérios de acesso ao <strong>foro privilegiado</strong>, para restringir o número de beneficiados",Integridade e Transparência,24,121123317
"Modificação do processo de <strong>escolha e nomeação de ministros do STF e Tribunais de Contas</strong>, com a adoção de critérios mais objetivos e técnicos",Integridade e Transparência,25,121123318
Extinção da <strong>aposentadoria compulsória</strong> como pena para membros do Judiciário,Integridade e Transparência,26,121123328
<strong>Partidos políticos</strong> devem estar sujeitos a regras que os tornem mais <strong>democráticos e transparentes</strong> em relação aos seus processos decisórios e ao uso dos recursos públicos que recebem,Integridade e Transparência,27,121123329
"Iniciativas legislativas para assegurar a prática da transparência, da prestação de contas e da participação cidadã, pilares do <strong>Governo Aberto</strong>",Integridade e Transparência,28,121123330
<strong>Transparência</strong> dos dados financeiros das <strong>campanhas políticas e mandatos</strong> eleitorais,Integridade e Transparência,29,121123333
"Prioridade na <strong>implementação da ENIMPACTO</strong>, programa da sociedade civil com os setores público e privado, para gerar impacto sócio-ambiental e resultado financeiro positivo de forma sustentável",Nova Economia,30,121123334
Marco regulatório para favorecer o acesso a capital para <strong>negócios com impacto positivo</strong> social e ambiental,Nova Economia,31,121123338
Iniciativas legislativas para estimular as <strong>empresas</strong> a implementar ações concretas de <strong>preservação do meio ambiente</strong> e <strong>redução de desigualdades</strong>,Nova Economia,32,121123341
Políticas públicas e regulamentação para desenvolver as <strong>finanças sociais</strong> e ambiente institucional e normativo favorável aos <strong>negócios de impacto</strong>,Nova Economia,33,121123383
"Estímulo à utilização de <strong>outros indicadores</strong>, além do resultado econômico, para medir o êxito de um negócio, tais como os benefícios gerados à sociedade e ao meio ambiente",Nova Economia,34,121123385
Norma específica para estabelecer requisitos de <strong>qualificação de empresas</strong> que integram suas atividades lucrativas com a <strong>promoção de bem-estar social e ambiental</strong>,Nova Economia,35,121123386
"As <strong>empresas</strong> devem desempenhar papel fundamental na implementação dos <strong>objetivos de desenvolvimento sustentável</strong> tratados na Agenda 2030, com a qual o Brasil se comprometeu perante a ONU",Nova Economia,36,121123410
"Regulamentação para estimular o desenvolvimento de <strong>tecnologias e inovações</strong> voltadas à <strong>resolução de problemas sociais</strong> em áreas como saúde, moradia, microfinanças, educação, água e saneamento",Nova Economia,37,121123414
Revogação da<strong> reforma trabalhista</strong> aprovada no Congresso Nacional em 2017,Meio Ambiente,38,121123416
Revogação da <strong>lei da terceirização</strong>,Meio Ambiente,39,121123417
Fim da <strong>reeleição</strong>,Meio Ambiente,40,121123419
"Implantação do “<strong>Distritão</strong>” para eleger os candidatos com maior número de votos, alterando as regras atuais, em que os mais votados ajudam a eleger candidatos menos votados na coligação",Meio Ambiente,41,121123425
<strong>Voto Facultativo</strong>,Meio Ambiente,42,121123511
<strong>Doações</strong> direcionadas às organizações de interesse público devem ser <strong>tributadas</strong>,Meio Ambiente,43,125015606
"Reforma tributária deverá considerar as especificidades das <strong>organizações sem fins lucrativos</strong> e de interesse público, além de estimular a ampliação de doações por pessoas físicas",Meio Ambiente,44,125015919
"<strong>Reforma da previdência</strong> como proposta na PEC 287/16, que atualmente tramita no congresso",Meio Ambiente,45,128401248
