id,casa,cpf,nome_civil,nome_eleitoral,genero,uf,sg_partido,situacao,condicao_eleitoral,ultima_legislatura,em_exercicio
724,senado,NA,Joaquim Francisco de Freitas Cavalcanti,Joaquim Francisco,M,PE,PSB,NA,1º Suplente,55,0
4990,senado,NA,Jorge Ney Viana Macedo Neves,Jorge Viana,M,AC,PT,NA,Titular,55,0
5078,senado,NA,Jose Nagib da Silva Lima,Jose Nagib da Silva Lima,M,RR,PT,NA,1º Suplente,55,0
40,senado,NA,José Agripino Maia,José Agripino,M,RN,DEM,NA,Titular,55,0
5090,senado,NA,José Alberto Wenzel,José Alberto Wenzel,M,RS,PSDB,NA,1º Suplente,55,0
5120,senado,NA,José Antonio Guidoni,José Antonio Guidoni,M,ES,PSB,NA,2º Suplente,55,0
43,senado,NA,José Eduardo de Barros Dutra,José Eduardo Dutra,M,SE,PT,NA,1º Suplente,55,0
5112,senado,NA,José Antônio Medeiros,José Medeiros,M,MT,PODEMOS,NA,1º Suplente,55,0
615,senado,NA,José Barroso Pimentel,José Pimentel,M,CE,PT,NA,Titular,55,0
5180,senado,NA,José Rodrigues da Silva,José Rodrigues da Silva,M,PE,PSB,NA,2º Suplente,55,0
5036,senado,NA,José de Macedo Ferreira,José de Macedo Ferreira,M,AL,MDB,NA,2º Suplente,55,0
950,senado,NA,João Alberto de Souza,João Alberto Souza,M,MA,MDB,NA,Titular,55,0
3394,senado,NA,João Alberto Rodrigues Capiberibe,João Capiberibe,M,AP,PSB,NA,Titular,55,0
5186,senado,NA,João Claudino Fernandes,João Claudino Fernandes,M,PI,PRTB,NA,1º Suplente,55,0
5166,senado,NA,João Costa Ribeiro Filho,João Costa,M,TO,PPL,NA,1º Suplente,55,0
3593,senado,NA,João Faustino Ferreira Neto,João Faustino,M,RN,PSDB,NA,1º Suplente,55,0
916,senado,NA,João Batista de Jesus Ribeiro,João Ribeiro,M,TO,PL,NA,Titular,55,0
5066,senado,NA,Juçara Feitosa de Oliveira,Juçara Feitosa de Oliveira,M,BA,PT,NA,2º Suplente,55,0
5158,senado,NA,Antonio Carlos Porto de Andrade,Kaká Andrade,M,SE,PDT,NA,2º Suplente,55,0
5156,senado,NA,Lauro Antonio Texeira Menezes,Lauro Antonio,M,SE,PL,NA,1º Suplente,55,0
3695,senado,NA,Luiz Lindbergh Farias Filho,Lindbergh Farias,M,RJ,PT,NA,Titular,55,0
5040,senado,NA,Lirio Albino Parisotto,Lirio Albino Parisotto,M,AM,MDB,NA,2º Suplente,55,0
3579,senado,NA,Edison Lobão Filho,Lobão Filho,M,MA,MDB,NA,1º Suplente,55,0
5092,senado,NA,Luis Carlos Paes de Castro,Luis Carlos Paes de Castro,M,CE,PCdoB,NA,2º Suplente,55,0
5104,senado,NA,Luis Cláudio da Costa Avelar,Luis Cláudio da Costa Avelar,M,DF,PCdoB,NA,2º Suplente,55,0
5002,senado,NA,Luiz Henrique da Silveira,Luiz Henrique,M,SC,MDB,NA,Titular,55,0
5058,senado,NA,Luís Guilherme Gomes Mussi,Luís Guilherme Gomes Mussi,M,PR,MDB,NA,2º Suplente,55,0
4575,senado,NA,Lídice da Mata e Souza,Lídice da Mata,F,BA,PSB,NA,Titular,55,0
643,senado,NA,Lúcia Vânia Abrão,Lúcia Vânia,F,GO,PSB,NA,Titular,55,0
631,senado,NA,Magno Pereira Malta,Magno Malta,M,ES,PL,NA,Titular,55,0
4951,senado,NA,Manoel Angelo Chagas,Manoel Angelo Chagas,M,RO,MDB,NA,2º Suplente,55,0
3366,senado,NA,Marcelo Bezerra Crivella,Marcelo Crivella,M,RJ,PRB,NA,Titular,55,0
710,senado,NA,Marcondes Iran Benevides Gadelha,Marcondes Gadelha,M,PB,PSC,NA,1º Suplente,55,0
5124,senado,NA,Maria Antonieta Amorim dos Santos,Maria Antonieta Amorim dos Santos,M,MS,MDB,NA,1º Suplente,55,0
5190,senado,NA,Maria Luza de Aquino Machado,Maria Luza de Aquino Machado,M,GO,PTB,NA,2º Suplente,55,0
5174,senado,NA,Maria de Pompeia Lins Pessoa,Maria de Pompeia Lins Pessoa,M,PE,PT,NA,2º Suplente,55,0
4998,senado,NA,Marinor Jorge Brito,Marinor Brito,F,PA,PSOL,NA,Titular,55,0
5142,senado,NA,Marta Maria Freire da Costa,Marta Maria Freire da Costa,M,SP,DEM,NA,2º Suplente,55,0
5000,senado,NA,Marta Teresa Suplicy,Marta Suplicy,F,SP,MDB,NA,Titular,55,0
670,senado,NA,Mauro de Alencar Fecury,Mauro Fecury,M,MA,MDB,NA,2º Suplente,55,0
5086,senado,NA,Miguel Dias de Souza,Miguel Dias de Souza,M,CE,PRB,NA,2º Suplente,55,0
5094,senado,NA,Márcio Bergonsi Turra,Márcio Bergonsi Turra,M,RS,PP,NA,2º Suplente,55,0
5176,senado,NA,Nestor Duarte Guimarães Neto,Nestor Duarte Guimarães Neto,M,BA,PDT,NA,1º Suplente,55,0
380,senado,NA,Nicias Lopes Ribeiro,Nicias Ribeiro,M,PA,PSDB,NA,1º Suplente,55,0
288,senado,NA,Nilson Moura Leite Mourão,Nilson Mourão,M,AC,PT,NA,1º Suplente,55,0
64,senado,NA,Odacir Soares Rodrigues,Odacir Soares,M,RO,PP,NA,2º Suplente,55,0
5060,senado,NA,Olney Ribeiro Botelho,Olney Ribeiro Botelho,M,RJ,PDT,NA,1º Suplente,55,0
5080,senado,NA,Pablo Sergio Souza Bezerra,Pablo Sergio Souza Bezerra,M,RR,PT,NA,2º Suplente,55,0
918,senado,NA,Amarildo Martins da Silva,Pastor Amarildo,M,TO,PSC,NA,2º Suplente,55,0
5018,senado,NA,Heber Waldo Silva Costa,Pastor Bel,M,MA,PRTB,NA,2º Suplente,55,0
5122,senado,NA,Paulo Antenor de Oliveira,Paulo Antenor de Oliveira,M,ES,PL,NA,1º Suplente,55,0
3741,senado,NA,Paulo Roberto Bauer,Paulo Bauer,M,SC,PSDB,NA,Titular,55,0
5020,senado,NA,Paulo Roberto Davim,Paulo Davim,M,RN,PV,NA,1º Suplente,55,0
5152,senado,NA,Paulo Frateschi,Paulo Frateschi,M,SP,PT,NA,2º Suplente,55,0
5114,senado,NA,Paulo Pereira Fíuza Filho,Paulo Pereira Fíuza Filho,M,MT,PV,NA,2º Suplente,55,0
5116,senado,NA,Pedro Chaves dos Santos Filho,Pedro Chaves,M,MS,PRB,NA,1º Suplente,55,0
5050,senado,NA,Pedro Irno Tonelli,Pedro Irno Tonelli,M,PR,PT,NA,2º Suplente,55,0
5010,senado,NA,José Pedro Gonçalves Taques,Pedro Taques,M,MT,PDT,NA,Titular,55,0
2207,senado,NA,Raimundo Lira,Raimundo Lira,M,PB,PSD,NA,1º Suplente,55,0
5072,senado,NA,Reditario Cassol,Reditario Cassol,M,RO,PP,NA,1º Suplente,55,0
5182,senado,NA,Maria Regina Sousa,Regina Sousa,F,PI,PT,NA,1º Suplente,55,0
635,senado,NA,Ricardo de Rezende Ferraço,Ricardo Ferraço,M,ES,PSDB,NA,Titular,55,0
5052,senado,NA,Roberto de Oliveira Muniz,Roberto Muniz,M,BA,PP,NA,1º Suplente,55,0
72,senado,NA,Roberto Requião de Mello e Silva,Roberto Requião,M,PR,MDB,NA,Titular,55,0
5098,senado,NA,Roberto Wagner Monteiro,Roberto Wagner Monteiro,M,DF,PRB,NA,2º Suplente,55,0
4593,senado,NA,Rodrigo Sobral Rollemberg,Rodrigo Rollemberg,M,DF,PSB,NA,Titular,55,0
5110,senado,NA,Manoel Antônio Rodrigues Palma,Rodrigues Palma,M,MT,PL,NA,2º Suplente,55,0
73,senado,NA,Romero Jucá Filho,Romero Jucá,M,RR,MDB,NA,Titular,55,0
4847,senado,NA,Salomão Alcolumbre Júnior,Salomão Alcolumbre Júnior,M,AP,MDB,NA,2º Suplente,55,0
5074,senado,NA,Sander Fraxe Salomao,Sander Fraxe Salomao,M,RR,MDB,NA,2º Suplente,55,0
5172,senado,NA,Sanny Japiassú dos Santos,Sanny Japiassú dos Santos,M,PB,MDB,NA,2º Suplente,55,0
5048,senado,NA,Sergio de Souza,Sergio Souza,M,PR,MDB,NA,1º Suplente,55,0
624,senado,NA,Aluísio Sérgio Novais Eleutério,Sérgio Novais,M,CE,PSB,NA,1º Suplente,55,0
5106,senado,NA,Sérgio Rogério de Castro,Sérgio de Castro,M,ES,PDT,NA,1º Suplente,55,0
438,senado,NA,Tilden José Santiago,Tilden Santiago,M,MG,PSB,NA,2º Suplente,55,0
4949,senado,NA,Tomás Guilherme Correia,Tomás Correia,M,RO,MDB,NA,1º Suplente,55,0
5068,senado,NA,Tânia Cristina Magalhães Bastos e Silva,Tânia Cristina Magalhães Bastos e Silva,M,RJ,PRB,NA,2º Suplente,55,0
5420,senado,NA,Ubiraci Picanço,Ubiraci Picanço,M,AP,NA,NA,2º Suplente,55,0
3372,senado,NA,Valdir Raupp de Matos,Valdir Raupp,M,RO,MDB,NA,Titular,55,0
5130,senado,NA,Valério Djalma Cavalcanti Marinho,Valério Djalma Cavalcanti Marinho,M,RN,PSDB,NA,2º Suplente,55,0
558,senado,NA,Vanessa Grazziotin,Vanessa Grazziotin,F,AM,PCdoB,NA,Titular,55,0
5084,senado,NA,Veridiana Maria Tonini,Veridiana Maria Tonini,M,RS,PT,NA,1º Suplente,55,0
4763,senado,NA,Vicente Alves de Oliveira,Vicentinho Alves,M,TO,PL,NA,Titular,55,0
4645,senado,NA,Vital do Rêgo Filho,Vital do Rêgo,M,PB,MDB,NA,Titular,55,0
5082,senado,NA,Waldemir Catanho de Sena Júnior,Waldemir Catanho de Sena Júnior,M,CE,PT,NA,1º Suplente,55,0
1176,senado,NA,Waldemir Moka Miranda de Britto,Waldemir Moka,M,MS,MDB,NA,Titular,55,0
604,senado,NA,Walter de Freitas Pinheiro,Walter Pinheiro,M,BA,S/Partido,NA,Titular,55,0
5016,senado,NA,José Wellington Barroso de Araujo Dias,Wellington Dias,M,PI,PT,NA,Titular,55,0
5070,senado,NA,Wilder Pedro de Morais,Wilder Morais,M,GO,DEM,NA,1º Suplente,55,0
5096,senado,NA,Wilmar Lacerda,Wilmar Lacerda,M,DF,PDT,NA,1º Suplente,55,0
3811,senado,NA,José Wilson Santiago,Wilson Santiago,M,PB,PTB,NA,Titular,55,0
3597,senado,NA,Wirlande Santos da Luz,Wirlande da Luz,M,RR,MDB,NA,1º Suplente,55,0
5144,senado,NA,José Perrella de Oliveira Costa,Zeze Perrella,M,MG,MDB,NA,1º Suplente,55,0
5118,senado,NA,Zonir Freitas Tetila,Zonir Freitas Tetila,M,MS,PT,NA,2º Suplente,55,0
5184,senado,NA,José Ribamar Noleto de Santana,Zé Santana,M,PI,MDB,NA,2º Suplente,55,0
4697,senado,NA,Ângela Maria Gomes Portela,Ângela Portela,F,RR,PDT,NA,Titular,55,0
5573,senado,NA,Abel Rebouças São José,Abel Rebouças,M,BA,PDT,NA,1º Suplente,56,0
4981,senado,NA,Acir Marcos Gurgacz,Acir Gurgacz,M,RO,PDT,NA,Titular,56,1
5918,senado,NA,Adilson Gomes Silva,Adilson Gomes,M,PE,NA,NA,2º Suplente,56,0
5625,senado,NA,Adilson Silva dos Santos,Adilson Silva dos Santos,M,RS,PEN,NA,2º Suplente,56,0
6026,senado,NA,Afonso Valter Parente Pinto,Afonso Parente,M,RR,NA,NA,2º Suplente,56,0
5923,senado,NA,Alberto da Silva David,Alberto David,M,AP,NA,NA,1º Suplente,56,0
5982,senado,NA,Alessandro Vieira,Alessandro Vieira,M,SE,CIDADANIA,NA,Titular,56,1
4610,senado,NA,Alexandre Silveira de Oliveira,Alexandre Silveira,M,MG,PSD,NA,1º Suplente,56,0
3651,senado,NA,Alfredo Cotait Neto,Alfredo Cotait Neto,M,SP,DEM,NA,1º Suplente,56,0
5962,senado,NA,Alisson Taveira Rocha Leal,Alisson Taveira,M,RN,NA,NA,1º Suplente,56,0
945,senado,NA,Alvaro Fernandes Dias,Alvaro Dias,M,PR,PODEMOS,NA,Titular,56,1
5607,senado,NA,Maria Alzenir Porto da Costa,Alzenir Porto,F,PI,PTB,NA,2º Suplente,56,0
5989,senado,NA,Ana Maria de Resende Vieira,Ana Maria,F,MG,NA,NA,2º Suplente,56,0
5950,senado,NA,Ana Paula Tongo da Silva,Ana Paula Tongo,F,ES,NA,NA,1º Suplente,56,0
5969,senado,NA,Andre Felipe de Oliveira da Silva,Andre Filipe,M,DF,NA,NA,2º Suplente,56,0
5967,senado,NA,Angelo Mario Coronel de Azevedo Martins,Angelo Coronel,M,BA,PSD,NA,Titular,56,1
5529,senado,NA,Antonio Augusto Junho Anastasia,Antonio Anastasia,M,MG,PSDB,NA,Titular,56,1
6001,senado,NA,Arlindo Penha da Silva,Arlindo Silva,M,PA,NA,NA,1º Suplente,56,0
751,senado,NA,Arolde de Oliveira,Arolde de Oliveira,M,RJ,PSD,NA,Titular,56,1
6009,senado,NA,Marcos Cesar Pontes,Astronauta Marcos Pontes,M,SP,NA,NA,2º Suplente,56,0
5633,senado,NA,Atilio Francisco da Silva,Atilio Francisco,M,SP,PRB,NA,2º Suplente,56,0
5631,senado,NA,Genésio Ayres Marchetti,Ayres Marchetti,M,SC,PSD,NA,2º Suplente,56,0
5554,senado,NA,Adalberto Souza Galvão,Bebeto,M,BA,PSB,NA,1º Suplente,56,0
4979,senado,NA,Bene André Camacho Araújo,Bene Camacho,M,MA,PTB,NA,2º Suplente,56,0
5896,senado,NA,Benjamin Beze Junior,Benjamin Beze Junior,M,GO,NA,NA,1º Suplente,56,0
5952,senado,NA,Bento Adeodato Porto,Bento,M,ES,NA,NA,2º Suplente,56,0
6011,senado,NA,Jose Roberto Martins,Beto Martins,M,SC,NA,NA,2º Suplente,56,0
5932,senado,NA,Gilberto Eglair Possamai,Beto Possamai,M,MT,NA,NA,1º Suplente,56,0
5559,senado,NA,José Afonso Teixeira,Bispo José,M,AC,PSC,NA,2º Suplente,56,0
6013,senado,NA,Carlos Alberto de Castro Almeida,Carlos Alberto,M,AM,NA,NA,1º Suplente,56,0
5603,senado,NA,Carlos Augusto Lopes da Costa,Carlos Augusto Costa,M,PE,PV,NA,1º Suplente,56,0
6020,senado,NA,Carlos Milton Morais,Carlos Milton Morais,M,RO,NA,NA,2º Suplente,56,0
5990,senado,NA,Carlos Alberto Dias Viana,Carlos Viana,M,MG,PSD,NA,Titular,56,1
5991,senado,NA,Castellar Modesto Guimarães Neto,Castellar Guimarães Neto,M,MG,NA,NA,1º Suplente,56,0
5593,senado,NA,Celso Dal Lago Rodrigues,Celso Dal Lago Rodrigues,M,MS,MDB,NA,1º Suplente,56,0
6000,senado,NA,João Chamon Neto,Chamon,M,PA,NA,NA,2º Suplente,56,0
470,senado,NA,Francisco de Assis Rodrigues,Chico Rodrigues,M,RR,DEM,NA,Titular,56,1
611,senado,NA,Francisco Feitosa de Albuquerque Lima,Chiquinho Feitosa,M,CE,PSDB,NA,1º Suplente,56,0
5623,senado,NA,Christopher Belchior Goulart,Christopher Goulart,M,RS,PDT,NA,1º Suplente,56,0
5973,senado,NA,Cid Ferreira Gomes,Cid Gomes,M,CE,PDT,NA,Titular,56,1
739,senado,NA,Ciro Nogueira Lima Filho,Ciro Nogueira,M,PI,PP,NA,Titular,56,1
6017,senado,NA,Cleonice Fabiane Back,Cleonice Back,F,RS,NA,NA,1º Suplente,56,0
5933,senado,NA,Clérie Fabiana Mendes,Clerie Fabiana,M,MT,NA,NA,2º Suplente,56,0
475,senado,NA,Confúcio Aires Moura,Confúcio Moura,M,RO,MDB,NA,Titular,56,1
5963,senado,NA,Margarida Brandão Fernandes de Araújo,Coronel Margarida,M,RN,NA,NA,2º Suplente,56,0
5960,senado,NA,Cândida dos Santos Farias,Cândida Farias,M,MT,NA,NA,2º Suplente,56,0
5998,senado,NA,Daniella Velloso Borges Ribeiro,Daniella Ribeiro,F,PB,PP,NA,Titular,56,1
5992,senado,NA,Danilo Martins de Oliveira,Danilo Martins de Oliveira,M,MG,NA,NA,2º Suplente,56,0
5987,senado,NA,Danny Fabricio Cabral Gomes,Danny Fabricio,M,MS,NA,NA,2º Suplente,56,0
3830,senado,NA,David Samuel Alcolumbre Tobelem,Davi Alcolumbre,M,AP,DEM,NA,Titular,56,1
5837,senado,NA,Davidson de Magalhães Santos,Davidson Magalhães,M,BA,PCdoB,NA,1º Suplente,56,0
6012,senado,NA,Denise Antunes dos Santos,Denise dos Santos,F,SC,NA,NA,2º Suplente,56,0
5996,senado,NA,Marcio Diego Fernandes Tavares de Albuquerque,Diego Tavares,M,PB,NA,NA,2º Suplente,56,0
5637,senado,NA,Divino Donizeti Borges Nogueira,Donizeti Nogueira,M,TO,PT,NA,1º Suplente,56,0
5975,senado,NA,Francisco José Alves Guimaraes,Dr. Guimarães,M,CE,NA,NA,2º Suplente,56,0
5565,senado,NA,Francisco Helder Cavalcante Sousa,Dr. Helder Cavalcante,M,AM,PL,NA,1º Suplente,56,0
6016,senado,NA,Adriana de Lucena Francisco,Drica de Lucena,F,RS,NA,NA,2º Suplente,56,0
5537,senado,NA,Dário Elias Berger,Dário Berger,M,SC,MDB,NA,Titular,56,1
4994,senado,NA,Carlos Eduardo de Souza Braga,Eduardo Braga,M,AM,MDB,NA,Titular,56,1
5976,senado,NA,Luis Eduardo Grangeiro Girão,Eduardo Girão,M,CE,PODEMOS,NA,Titular,56,1
3777,senado,NA,Carlos Eduardo Torres Gomes,Eduardo Gomes,M,TO,MDB,NA,Titular,56,0
5902,senado,NA,Eduardo Ovídio Borges de Velloso Vianna,Eduardo Velloso,M,AC,NA,NA,1º Suplente,56,0
5587,senado,NA,Eladio Barbosa Carneiro,Eladio Carneiro,M,GO,MDB,NA,2º Suplente,56,0
5898,senado,NA,Eliane e Silva Nogueira Lima,Eliane Nogueira,F,PI,NA,NA,1º Suplente,56,0
5605,senado,NA,Eliane Rodrigues de Andrade Ferreira,Eliane Rodrigues,F,PE,PSB,NA,2º Suplente,56,0
5718,senado,NA,Eliziane Pereira Gama Melo,Eliziane Gama,F,MA,CIDADANIA,NA,Titular,56,1
5531,senado,NA,Elmano Férrer de Almeida,Elmano Férrer,M,PI,PODEMOS,NA,Titular,56,1
6025,senado,NA,Roberta Leontina Xisto Acioly,Enfermeira Roberta,F,RR,NA,NA,1º Suplente,56,0
22,senado,NA,Esperidião Amin Helou Filho,Esperidião Amin,M,SC,PP,NA,Titular,56,1
5906,senado,NA,Eudocia Maria Holanda de Araujo Caldas,Eudócia Caldas,F,AL,NA,NA,1º Suplente,56,0
5953,senado,NA,Fabiano Contarato,Fabiano Contarato,M,ES,REDE,NA,Titular,56,1
5740,senado,NA,Fabio Paulino Garcia,Fabio Garcia,M,MT,DEM,NA,1º Suplente,56,0
5581,senado,NA,Fadi Fayez Faraj,Fadi Faraj,M,DF,SD,NA,2º Suplente,56,0
5540,senado,NA,Fernando Bezerra de Souza Coelho,Fernando Bezerra Coelho,M,PE,MDB,NA,Titular,56,1
5980,senado,NA,Fernando Luiz Prado Carvalho Junior,Fernando Carvalho,M,SE,NA,NA,1º Suplente,56,0
4525,senado,NA,Fernando Affonso Collor de Mello,Fernando Collor,M,AL,PROS,NA,Titular,56,0
5917,senado,NA,Fernando Antonio Caminha Dueire,Fernando Dueire,M,PE,NA,NA,1º Suplente,56,0
5577,senado,NA,Fernando Antonio Mendes Façanha Filho,Fernando Façanha,M,CE,PSDB,NA,2º Suplente,56,0
5920,senado,NA,Flavio Marcelo Gonçalves Vicente,Flavio Vicente,M,PR,NA,NA,2º Suplente,56,0
345,senado,NA,Flávio José Arns,Flávio Arns,M,PR,REDE,NA,Titular,56,1
5894,senado,NA,Flávio Nantes Bolsonaro,Flávio Bolsonaro,M,RJ,PSL,NA,Titular,56,1
3713,senado,NA,Maria de Fátima Bezerra,Fátima Bezerra,F,RN,PT,NA,Titular,56,0
196,senado,NA,Geraldo César Althoff,Geraldo Althoff,M,SC,NA,NA,1º Suplente,56,0
5900,senado,NA,Gil Marques de Medeiros,Gil Paraibano,M,PI,NA,NA,2º Suplente,56,0
5615,senado,NA,Gilberto Piselo do Nascimento,Gilberto Piselo,M,RO,PDT,NA,1º Suplente,56,0
6008,senado,NA,Alexandre Luiz Giordano,Giordano,M,SP,NA,NA,1º Suplente,56,0
4558,senado,NA,Gladson de Lima Cameli,Gladson Cameli,M,AC,PP,NA,Titular,56,0
