cnpj,razao_social
00856899000149,BRASITUR VIAGENS E TURISMO LTDA
00856899000220,BRASITUR VIAGENS E TURISMO LTDA
00864206000160,CERVEJARIA KORRAN LTDA
00936544000160,PJ COMERCIO E TRANSPORTES DE AREIA E BRITA LTDA
00936544000240,PJ COMERCIO E TRANSPORTES DE AREIA E BRITA LTDA
00936544000321,PJ COMERCIO E TRANSPORTES DE AREIA E BRITA LTDA
00955976000118,BOLICHE RECIFE LTDA
00988631000160,ASSOCIACAO LAR FAMILIA FLORDELIS
01036529000128,VIABRASIL TRANSPORTES AEREOS LTDA
01036529000209,VIABRASIL TRANSPORTES AEREOS LTDA
01036529000390,VIABRASIL TRANSPORTES AEREOS LTDA
01036529000470,VIABRASIL TRANSPORTES AEREOS LTDA
01036529000551,VIABRASIL TRANSPORTES AEREOS LTDA
01036529000632,VIABRASIL TRANSPORTES AEREOS LTDA
01040305000190,INSTITUTO NACIONAL DE DEFESA DO CONSUMIDOR
01084687000153,CLUBE DE VIAGENS DI ROMA
01131627000144,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA - RONDONIA - RO - ESTADUAL
01133679000150,DAMASO E RODRIGUES LTDA
01133679000230,DAMASO E RODRIGUES LTDA
01173204000197,BAZAR PROFESSOR ALCIDES LTDA
01250348000108,OCM CONSTRUTORA LTDA
01280354000108,FREQUENCIAL EMPREENDIMENTOS DE COMUNICACAO LTDA
01310463000112,INSTITUTO TEOTONIO VILELA
01318076000122,DIRETORIO REGIONAL DO PARTIDO LIBERAL - RIO GRANDE DO NORTE
01357062000118,INSTITUTO DE PESQUISA E DE CULTURA LUIZ FLAVIO GOMES LTDA.
01361237000160,WH-INFORMATICA E AUTOMACAO LTDA
01362689000167,PARTIDO PROGRESSISTA BRASILEIRO PPB
01374629000164,SOCIEDADE BRASILEIRA DE CLINICA MEDICA REGIONAL MS
01457661000103,AUREO'S INFORMATICA LTDA
01460690000124,ASSOCIACAO APARECIDENSE DE EDUCACAO
01488996000199,KOSMONET CONSULTORIA E SERVICOS LTDA
01518155000187,LAPA DISTRIBUIDORA DE COMB E DERV DO PETROLEO LTDA
01518155000268,LAPA DISTRIBUIDORA DE COMB E DERV DO PETROLEO LTDA
01533953000188,ESPACO 10 X 21 ARTE EM MOVIMENTO LTDA
01591815000155,COBRANI COBRANCAS EMPRESARIAL LTDA
01615206000199,"PROJETAR - PROJETOS, PESQUISAS E CONSULTORIA LTDA"
01629193000107,WORLD SAUDE LTDA
01642347000109,FEDERACAO DA AGRICULTURA E PECUARIA DE GOIAS-FAEG
01643468000167,JSM CONSULTORIA COMERCIAL E PARTICIPACOES LTDA
01665333000100,ORLA SUL EMPREENDIMENTOS ARTISTICOS LTDA
01700694000132,EDITORA LUZ BRASIL LTDA
01753713000199,DI ROMA EMPREENDIMENTOS IMOBILIARIOS LTDA
01771386000106,TV MASSAYO LTDA
01846246000141,GIACOBO & CIA LTDA
01865584000120,DOM JOSE EMPREENDIMENTOS E PARTICIPACOES LTDA
01879332000150,RADIO CABUGI DE ANGICOS LTDA
01882701000164,KLANN & FONTEYNE PARTICIPACOES LTDA
01889980000198,LANCHONETE PAO DA VIDA LTDA
01914786000115,ELETROSERVICE LTDA
01941165000120,EMPRESA DE COMUNICACAO GAIA LTDA
01988803000169,CANAL 32 VIDEO PRODUCOES LTDA
02018779000106,MIRANDA & PAGANI LTDA
02062530000190,PRIMA CURSOS PREPARATORIOS LTDA
02062530000270,PRIMA CURSOS PREPARATORIOS LTDA
02071280000154,ROMA AGROPECUARIA E EMPREENDIMENTOS LTDA
02108895000108,"ALBUQUERQUE, SILVEIRA & VIDAL LTDA"
02142603000153,IDE - INSTITUTO DE DIAGNOSTICOS ESPECIALIZADOS LTDA
02142603000234,IDE - INSTITUTO DE DIAGNOSTICOS ESPECIALIZADOS LTDA
02148709000164,ABC ASSOCIACAO BENEFICENTE CRISTA
02167740000142,THERMAS DI ROMA HOTEL CLUBE
02212596000119,COSTA & LATANZI DA COSTA LTDA
02249201000152,OURO NEGRO COMERCIO E SERVICOS LTDA - EM RECUPERACAO JUDICIAL
02254838000137,AMAZONIA LOGISTICA & NAVEGACAO LTDA
02270243000175,VARELLA VEICULOS PESADOS LTDA
02270243000256,VARELLA VEICULOS PESADOS LTDA
02270243000337,VARELLA VEICULOS PESADOS LTDA
02270243000418,VARELLA VEICULOS PESADOS LTDA
02284642000195,POSTO RIO CORRENTE LTDA
02297980000161,CIRO NOGUEIRA COMERCIO DE MOTOCICLETAS LTDA.
02297980000242,CIRO NOGUEIRA COMERCIO DE MOTOCICLETAS LTDA.
02297980000323,CIRO NOGUEIRA COMERCIO DE MOTOCICLETAS LTDA.
02297980000404,CIRO NOGUEIRA COMERCIO DE MOTOCICLETAS LTDA.
02297980000595,CIRO NOGUEIRA COMERCIO DE MOTOCICLETAS LTDA.
02297980000676,CIRO NOGUEIRA COMERCIO DE MOTOCICLETAS LTDA.
02297980000757,CIRO NOGUEIRA COMERCIO DE MOTOCICLETAS LTDA.
02297980000838,CIRO NOGUEIRA COMERCIO DE MOTOCICLETAS LTDA.
02297980000919,CIRO NOGUEIRA COMERCIO DE MOTOCICLETAS LTDA.
02297980001052,CIRO NOGUEIRA COMERCIO DE MOTOCICLETAS LTDA.
02297980001133,CIRO NOGUEIRA COMERCIO DE MOTOCICLETAS LTDA.
02297980001214,CIRO NOGUEIRA COMERCIO DE MOTOCICLETAS LTDA.
02297980001303,CIRO NOGUEIRA COMERCIO DE MOTOCICLETAS LTDA.
02297980001486,CIRO NOGUEIRA COMERCIO DE MOTOCICLETAS LTDA.
02308967000160,AGROSENSU SERVICOS ESPECIALIZADOS EM AGROPECUARIA LTDA
02322538000148,CEDECA - CENTRO DE DESENVOLVIMENTO DE CRUZ ALTA
02333505000101,DI ROMA VIAGENS E TURISMO LTDA
02333505000284,DI ROMA VIAGENS E TURISMO LTDA
02333505000365,DI ROMA VIAGENS E TURISMO LTDA
02333505000446,DI ROMA VIAGENS E TURISMO LTDA
02383185000196,PETROLINA COMUNICACOES LTDA
02462420000115,"CASTRO, MENDONCA, URBANO E DE PAULA EMPREENDIMENTOS IMOBILIARIOS LTDA"
02486254000197,GOODY INDUSTRIA DE ALIMENTOS S/A
02486254000278,GOODY INDUSTRIA DE ALIMENTOS S/A
02486254000359,GOODY INDUSTRIA DE ALIMENTOS S/A
02486254000430,GOODY INDUSTRIA DE ALIMENTOS S/A
02486254000510,GOODY INDUSTRIA DE ALIMENTOS S/A
02486254000600,GOODY INDUSTRIA DE ALIMENTOS S/A
02505695000199,COOPERATIVA MISTA DO TRANSPORTE ALTERNATIVO DE PASSAGEIROSDO ESTADO DE GOIAS - COOPERTRAL
02505695000270,COOPERATIVA MISTA DO TRANSPORTE ALTERNATIVO DE PASSAGEIROSDO ESTADO DE GOIAS - COOPERTRAL
02505695000350,COOPERATIVA MISTA DO TRANSPORTE ALTERNATIVO DE PASSAGEIROSDO ESTADO DE GOIAS - COOPERTRAL
02505695000431,COOPERATIVA MISTA DO TRANSPORTE ALTERNATIVO DE PASSAGEIROSDO ESTADO DE GOIAS - COOPERTRAL
02522837000126,ASSOCIACAO ATLETICA ITAIQUARA
02524919000100,AEL RIBEIROS INFORMATICA LTDA
02529104000113,BRITALVALE IND. E COM. DE PEDRAS LTDA
02544819000145,ARGEVALE ARMAZENS GERAIS VERDE VALE LTDA
02544820000170,AGROPECUARIA BURITI TORTO LTDA
02599046000102,REAJA EDITORA E GRAFICA LTDA
02616717000198,ANGEL CENTRO DE ESTETICA E BRONZEAMENTO LTDA
02634075000150,TRIKILHA COMERCIO DE INFORMATICA LTDA
02688957000106,ACADEMIA A CLUB FITNESS LTDA
02688957000289,ACADEMIA A CLUB FITNESS LTDA
02731013000166,CLINICA MEDICA DR GEORGE MORAIS LTDA
02733891000110,TARTARI E GIACOBO LTDA
02754681000109,PARTIDO POPULAR SOCIALISTA - PPS
02756700000136,PARTIDO SOCIAL DEMOCRATICO
02757315000103,MARCO ANTONIO MODAS LTDA
02777459000121,SUPORTE REPRESENTACOES LTDA
02777459000202,SUPORTE REPRESENTACOES LTDA
02848291000106,ATITUDE PUBLICIDADE LTDA
02880684000199,GR CAXIAS CONSTRUCOES E EMPREENDIMENTOS IMOBILIARIOS LTDA
02883534000139,TWNET - COMERCIO E SERVICOS DE INFORMATICA LTDA
02883534000210,TWNET - COMERCIO E SERVICOS DE INFORMATICA LTDA
02885584000155,AUTO POSTO CHAVES LTDA
02890753000145,DI MINAS MASSAS ALIMENTICIAS LTDA
02898937000151,R. E. CONSTRUCOES E EMPREENDIMENTOS LTDA
02898937000232,R. E. CONSTRUCOES E EMPREENDIMENTOS LTDA
02915954000150,MJM. ADMINISTRACAO E PARTICIPACOES LTDA
02935978000170,DILBERT INFORMATICA COMERCIO E SERVICOS LTDA
02952846000157,ASSOCIACAO BRASILEIRA PELA EDUCACAO DE QUALIDADE
02974303000130,PONTA D AGUA S/S LTDA
02986680000190,ASSOCIACAO COMUNITARIA DOS MENSAGEIROS DA SAUDE DE SANTA BARBARA DE GOIAS
02994215000109,VARELLA VEICULOS PESADOS LTDA
03000349000111,EJOS CONSTRUCOES E CONSULTORIA LTDA
03018688000125,ASSOCIACAO COMUNITARIA NOVO HORIZONTE MAUES
03020159000166,INSTITUTO GUARAENSE DE EDUCACAO E CULTURA S/C LTDA
03022239000150,KINZE MODELS PROMOCOES E EVENTOS LTDA.
03047668000182,IGREJA EVANGELICA CENTRO EVANGELISTICO MISSAO VIDA
03065149000147,DO IT COMUNICACAO E MARKETING LTDA
03074316000116,IMAGEM REPRESENTACAES COMERCIAIS LTDA
03083176000142,AGUARDENTE RIO RANCHO LTDA
03083176000223,AGUARDENTE RIO RANCHO LTDA
03095350000177,TRIPLICAR ADMINISTRADORA E CORRETORA DE SEGUROS LTDA
03123082000150,NACIONAL COMBUSTIVEIS LTDA
03123082000230,NACIONAL COMBUSTIVEIS LTDA
03123082000311,NACIONAL COMBUSTIVEIS LTDA
03153143000121,PEGASO LOCACAO E ARRENDAMENTO DE VEICULOS LTDA
03165946000104,TRANSFERREIRA LTDA
03188076000180,AULIMAR INFORMATICA LTDA
03195048000190,RS ASSESSORIA E CONSULTORIA LTDA
03199269000137,MK EDICOES MUSICAIS LTDA.
03220504000105,RIO DAS FRUTAS LTDA
03231018000192,DANPA ASSESSORIA E CONSULTORIA DE COMUNICACAO E MARKETING LTDA
03275216000158,TORRE FORTE - PRODUTOS ALIMENTICIOS LTDA
03275216000239,TORRE FORTE - PRODUTOS ALIMENTICIOS LTDA
03275216000310,TORRE FORTE - PRODUTOS ALIMENTICIOS LTDA
03287602000160,JF COMERCIO E EMPREENDIMENTOS LTDA
03299740000169,SOMA EMPRESA DE MINERACAO LTDA
03301505000184,CLINFE-CLNICA DE FISIOTERAPIA ESPECIALIZADA S/C
03305987000140,ASSOCIACAO COMUNITARIA DOS CAVALEIROS DE NOVA RESENDE
03323188000105,MULTIPLIC EMPREENDIMENTOS AGROPECUARIOS LTDA
03358547000151,CODEPEL COMERCIO DE DEVIRADOS DE PETROLEO LTDA
03429606000135,BATISTA RABELO - REPRESENTACOES LTDA
03429606000216,BATISTA RABELO - REPRESENTACOES LTDA
03429606000305,BATISTA RABELO - REPRESENTACOES LTDA
03449628000167,INSTITUTO FECOMERCIO DE PESQUISA E DESENVOLVIMENTO DE SERGIPE
03460745000121,PARTIDO GERAL DOS TRABALHADORES
03465317000191,ROMA EMPREENDIMENTOS E TURISMO LTDA
03465317000272,ROMA EMPREENDIMENTOS E TURISMO LTDA
03465317000353,ROMA EMPREENDIMENTOS E TURISMO LTDA
03466623000142,LAEL VARELLA EDUCACAO E CULTURA LTDA
03466623000223,LAEL VARELLA EDUCACAO E CULTURA LTDA
03479039000121,MARLON ARATOR SANTOS DA ROSA & CIA LTDA
03485228000107,FACULDADE ALFREDO NASSER LTDA
03485228000298,FACULDADE ALFREDO NASSER LTDA
03485228000379,FACULDADE ALFREDO NASSER LTDA
03485283000105,FACULDADES CATHEDRAL DE ENSINO SUPERIOR
03496110000184,AMF PRODUCOES LTDA
03503793000150,CONSTRUTORA ANEX LTDA
03525153000140,GELLER AUTO POSTO LTDA
03525153000221,GELLER AUTO POSTO LTDA
03555476000187,NUNES PATRIMONIAL LTDA
03564722000167,ANIMA CENTRO DE PSICOLOGIA E FONOAUDIOLOGIA SPINELLI LTDA
03597857000129,ISA MARA BREDOW & CIA LTDA
03623750000108,C D I - CENTRO DE DIAGNOSTICOS POR IMAGEM S/C LTDA.
03637204000126,INSTITUTO BRASILEIRO DE EDUCACAO E TECNOLOGIA
03637204000207,INSTITUTO BRASILEIRO DE EDUCACAO E TECNOLOGIA
03652904000190,EMPREENDIMENTOS AUTOMOTIVOS GIACOBO LTDA
03664319000100,LEANDRO ROSA FORTES & CIA LTDA
03665173000117,O NOVO TECNOLOGIA E SISTEMAS LTDA
03674282000109,K-T-DRAL LANCHES LTDA
03674282000281,K-T-DRAL LANCHES LTDA
03700174000155,M & D ESPORTES E MARKETING LTDA
03709032000159,OTICA ADONAY LTDA
03719327000106,PORTO PESCA LTDA
03738074000118,PARTIDO LIBERAL (PL)
03753375000110,MEP - ASSISTENCIA
03767704000182,GIRASSOL EMPRESA DE MINERACAO LTDA
03769695000169,PARAIBA TOURMALINE MINERACAO LTDA
03798215000198,DIRETOTIO MUNICIPAL DO PARTIDO LIBERAL
03798424000131,ELNET HIGHTECH LTDA
03834115000170,MEDINA FM LTDA
03862334000162,ASPEMA-S/C LTDA
03936202000138,BRASIPAR PARTICIPACOES S/A
03951749000102,CENTRO MEDICO POLICLINICA RESENDE S/C LTDA
03957101000143,LASER RIO LTDA
03985799000100,SDA EQUIPAMENTOS ELETRONICOS LTDA
04001630000131,EMPREENDIMENTOS TURISTICOS COSTA DOS COQUEIROS S/A
04026653000109,PARTIDO TRABALHISTA DO BRASIL
04037609000196,N & M SERVICOS E ORGANIZACAO DE DOCUMENTOS LTDA
04047096000102,PARTIDO SOCIAL CRISTAO
04121411000196,BPC LIVROS LTDA
04144526000104,EDUCARE LTDA
04148527000119,UNBRAS - SP UNIAO BRASILEIRA DE ASSESSORIA E SERVICOS SAO PAULO S/A.
04163086000124,GII LOCADORA DE VEICULOS LTDA
04163260000139,AGENCIA DE NAMORO PROGRAMADO LTDA
04202857000145,AUTO SERVICOS BR JERUSALEM LTDA
04218335000131,DIARIOS DO PARA LTDA
04230030000145,MAXTRAN EMPREENDIMENTOS E PARTICIPACOES LTDA
04230532000176,HOSPITAL STORE LTDA
04241806000122,FALABELLA & OLIVA ADVOGADOS ASSOCIADOS
04245006000180,JMB CONSULTORIA EMPRESARIAL LTDA
04272315000149,CRIAR-CLINICA DE REPRODUCAO HUMANA LTDA
04272315000220,CRIAR-CLINICA DE REPRODUCAO HUMANA LTDA
04292531000156,MERCOGAS DO BRASIL LTDA
04317702000154,CONDE DE PIRAQUARA EMPREENDIMENTOS E PARTICIPACOES LTDA
04322499000104,AGROPECUARIA RIO DA PRATA LTDA
04325102000138,CANTANHEDE TURISMO LTDA
04334550000106,HOREBE LANCHES LTDA
04334550000289,HOREBE LANCHES LTDA
04339221000140,FRUTOS DO MAR DA AMAZONIA LTDA
04367120000182,SOUTO MAIA & CIA LTDA
04383627000120,FEDERACAO DOS MUNICIPIOS DO ESTADO DO RIO GRANDE DO NORTE - FEMURN
04392495000100,VITORIA REGIA EMPREENDIMENTOS AQUATICOS LTDA
04448893000193,MARANHAO MOTOS LTDA
04448893000274,MARANHAO MOTOS LTDA
04448893000355,MARANHAO MOTOS LTDA
04448893000436,MARANHAO MOTOS LTDA
04448893000517,MARANHAO MOTOS LTDA
04448893000606,MARANHAO MOTOS LTDA
04458767000110,HOSPITAL CENTRAL DE PIRABAS S/C LTDA
04464961000108,L.S. ABREU TELEFONIA CELULAR LTDA
04464961000299,L.S. ABREU TELEFONIA CELULAR LTDA
04465355000107,BRASITEC EMPREENDIMENTOS LTDA
04488675000182,C. S. PAES LTDA
04492793000164,CATHEDRAL GRAFICA E EDITORA LTDA
04493262000196,"AHTL CONSULTORIA, ASSESSORIA E SERVICOS S/S LTDA"
04501693000157,ASSOCIACAO RURAL DE POCO DANTAS
04503472000118,LS COMUNICACOES E EVENTOS LTDA
04530438000132,CCS - EMPREENDIMENTOS E PARTICIPACOES LTDA
04551715000193,RADIO ATUAL FM LTDA
04558597000145,UNIAO DAS CAMARAS MUNCIPAIS DE MINAS GERAIS
04573461000104,P S C CENTRO ESPORTIVO LTDA
04583235000104,COMPANHIA NACIONAL DE FRUTAS CNF
04626403000100,LIVROS & LIVROS LTDA
04631265000149,PFL JOVEM
04670300000139,GO9 IMPORTACAO E EXPORTACAO LTDA
04674895000109,GRUPO EDUCACIONAL DO CARPINA LTDA
04702780000172,Z-EYHMEPIA BRAZIL SERVICOS DE GEOLOGIA LTDA
04742626000124,PRATA CAR 141 VEICULOS LTDA.
04771078000160,LICSPORT LICENCIAMENTOS DE IMAGEM LTDA
04782174000104,ALPHA ASSESSORIA JURIDICA S/C LTDA
04805113000115,GRUPO SUPERACAO PRO ESTRADA
04816712000134,MINERALIZADORA FONTE DE LUZ LTDA
04822411000113,PLANEGRAM CONSTRUCOES E PLANEJAMENTO LTDA
04822976000109,ESTACAO JJ & A LTDA
04845177000140,ADPL MOTORS LTDA.
04845177000220,ADPL MOTORS LTDA.
04845177000301,ADPL MOTORS LTDA.
04865568000126,KAKEKA COMERCIO VAREJISTA DE BRINQUEDOS E ARTIGOS DO VESTUARIO LTDA
04865568000207,KAKEKA COMERCIO VAREJISTA DE BRINQUEDOS E ARTIGOS DO VESTUARIO LTDA
04865568000398,KAKEKA COMERCIO VAREJISTA DE BRINQUEDOS E ARTIGOS DO VESTUARIO LTDA
04865568000479,KAKEKA COMERCIO VAREJISTA DE BRINQUEDOS E ARTIGOS DO VESTUARIO LTDA
04865568000550,KAKEKA COMERCIO VAREJISTA DE BRINQUEDOS E ARTIGOS DO VESTUARIO LTDA
04865568000630,KAKEKA COMERCIO VAREJISTA DE BRINQUEDOS E ARTIGOS DO VESTUARIO LTDA
04874170000156,SISTEMA PARAMBU DE COMUNICACOES LTDA
04987987000130,DISTRIBUIDORA PERDOENSE DE PETROLEO LTDA
04987987000211,DISTRIBUIDORA PERDOENSE DE PETROLEO LTDA
05003472000111,CENTRO DE EDUCACAO ENIGMA LTDA
05013973000189,INSTITUTO TANCREDO NEVES DE ESTUDOS POLITICOS E SOCIAIS
05016048000101,MARKETING PLUS ASSESSORIA E CONSULTORIA LTDA
05022973000145,JUNIOR DE IGUACU LOCACOES DE MAQUINAS E VEICULOS LTDA
05032895000160,PROJETO NACIONAIS DE CULTURA LTDA
05059983000155,PANIFICADORA E MERCEARIA PROFESSOR ALCIDES INDUSTRIA E COMERCIO LTDA
05119218000183,IGUATEMI COMERCIAL LTDA
05143490000107,RBA REDE BRASIL AMAZONIA DE TELEVISAO LTDA
05191582000154,ELEICAO 2002 - CF Unico PL
05201377000122,TLETE ADMINISTRADORA E CORRETORA DE SEGUROS LTDA
05203221000180,SCIENTIFIC SERVICOS TECNICOS LTDA
05219966000138,ELEICAO 2002 - CF Unico PSD
05245892000104,MACOTA COMERCIO DE FERTILIZANTES ORGANICOS LTDA
05257678000178,AUTO POSTO 500 TINGUI LTDA
05289159000191,LOCARES ADMINISTRACAO DE BENS LTDA
05309439000114,MB EMPRESA DE MINERACAO LTDA
05309439000203,MB EMPRESA DE MINERACAO LTDA
05332944000180,MIRANDA E CASTRO EXPLORACAO MINERAL LTDA
05380118000106,CONSTRUTORA GOLD LTDA
05392477000183,NORTEVIA AMAZONIA COMERCIO E REPRESENTACOES LTDA
05407491000103,HAF EMPREENDIMENTOS LTDA
05407491000294,HAF EMPREENDIMENTOS LTDA
05415996000110,SOB MEDIDA MOVEIS E DECORACAO LTDA
05429222000148,DISTRIBUIDORA E LOGISTICA DE PERNAMBUCO IMPORTACAO E EXPORTACAO LTDA
05433691000130,COMPANHIA DE TRENS METROPOLITANOS DE PERNAMBUCO - COPERTRENS
05465524000171,RADIO DIFUSORA GRAPIUNA LTDA
05483738000170,INSTITUTO IZALCI DE SOLIDARIEDADE
05496342000168,ASSOCIACAO BRASILEIRA DOS INSTITUIDORES DE PREVIDENCIA COMPLEMENTAR - ABIPREV
05504993000152,DOM JASON INDUSTRIA COMERCIO E DISTRIBUICAO LTDA
05504993000233,DOM JASON INDUSTRIA COMERCIO E DISTRIBUICAO LTDA
05504993000314,DOM JASON INDUSTRIA COMERCIO E DISTRIBUICAO LTDA
05508737000133,PREVCOOP PREVIDENCIA COMPLEMENTAR
05531281000122,LAGO EMPREENDIMENTOS LTDA
05565438000130,FOKUS LOGISTICA LTDA
05565438000211,FOKUS LOGISTICA LTDA
05565438000300,FOKUS LOGISTICA LTDA
05588203000164,CONSORCIO MLC
05606723000152,MLC EMPREENDIMENTOS LTDA.
05616225000190,J J S - CONSULTORIA E DESENVOLVIMENTO LTDA
05649712000150,LATICRETE SOLEPOXY INDUSTRIA E COMERCIO DE RESINA LTDA
05652107000138,BAHIA CINE LTDA
05652107000219,BAHIA CINE LTDA
05652107000308,BAHIA CINE LTDA
05674895000163,INEVAR INSTITUTO DE ESTUDOS DO VAREJO LTDA.
05688943000172,INSTITUTO INDIGENA BRASILEIRO DE PROPRIEDADE INTELECTUAL
05718967000127,MONTEIRO CAMAROES IMPORTACAO E EXPORTACAO LTDA
05726377000146,AMAZONIA AGROPECO INDUSTRIAL LTDA
05726377000227,AMAZONIA AGROPECO INDUSTRIAL LTDA
05754464000107,DRB LOCACAO DE SOFTWARES LTDA
05757605000145,ELLPA ADMINISTRADORA SPE-1 LTDA
05779274000144,RRC CONSTRUCOES E INCORPORACOES LTDA
05792326000112,LFG BRASILIA CURSOS LUIZ FLAVIO GOMES LTDA
05795014000162,DELICIAS RONDONIA DISTRIBUIDORA DE ALIMENTOS LTDA
05804594000107,MABRO EMPREENDIMENTOS E COMERCIO DE MATERIAL ELETRICO LTDA
05807905000191,PARAMBU COMBUSTIVEIS E VARIEDADES LTDA
05808250000176,AF CULTURA AND ART LTDA
05817840000165,''CIRILO E LOPES - ADVOGADOS ASSOCIADOS''
05861738000167,SCIENTIFIC COMERCIO HOSPITALAR LTDA
05861738000248,SCIENTIFIC COMERCIO HOSPITALAR LTDA
05861738000329,SCIENTIFIC COMERCIO HOSPITALAR LTDA
05956605000174,PAPAYA EMPREENDIMENTOS IMOBILIARIOS LTDA
05973108000184,CIMA ADMINISTRADORA DE BENS LTDA
06016708000117,EDIFICIO ISABELLA EMPREENDIMENTOS IMOBILIARIOS SPE LTDA
06026563000135,CENTRO DE ENSINO JURIDICO RIBEIRAO PRETO LTDA.
06078098000186,LUCCAS E FROTA ENTRETENIMENTO E PRODUCOES ARTISTICAS LTDA
06094165000156,BIBAS & MILLA COMERCIO SERVICOS E TRANSPORTES LTDA
06100109000187,POSTO VELHO DA TAIPA LTDA
06103050000180,MAIA - ASSESSORIA EMPRESARIAL EM ESTRATEGIA E REESTRUTURACAO FINANCEIRA LTDA
06104592000178,NF COMERCIAL DE PNEUS LTDA
06104669000100,NUNES COMERCIAL DE PNEUS LTDA
06104669000290,NUNES COMERCIAL DE PNEUS LTDA
06138220000162,SCIENTIFIC COMERCIAL DE PRODUTOS RADIOLOGICOS LTDA.
06167010000100,PALMAS IATE CLUBE LTDA
06179652000111,FESTA CHEIA PRODUCOES E PROPAGANDAS LTDA
06179797000112,CAMACHO & SOUZA LTDA
06180348000194,BAZAR PROFESSOR ALCIDES LTDA
06182584000140,GUIZAN EMPREENDIMENTOS IMOBILIARIOS LTDA
06271830000130,CONSORCIO INTERMUNICIPAL PARA O DESENVOLVIMENTO DO POLO TURISTICO DO CIRCUITO DAS FRUTAS
06273472000102,TINA S FESTAS LTDA
06305377000135,ASSOCIACAO MULHERES SEM MEDO DO PODER
06323694000184,FORCAPREV - PREVIDENCIA COMPLEMENTAR
06332023000180,MISTER JAMES TELECOM COMERCIO E SERVICOS DE TELEFONIA CELULAR LTDA
06332023000260,MISTER JAMES TELECOM COMERCIO E SERVICOS DE TELEFONIA CELULAR LTDA
06332023000341,MISTER JAMES TELECOM COMERCIO E SERVICOS DE TELEFONIA CELULAR LTDA
